internal_nodes,leaf_nodes,pop_size,max_gens,max_tree_size,crossover_rate,mutation_rate,coeff_opt_rate,tournament_size,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.01,2,"[-492.834850138738, -452.02302854892775, -254.03044931687413, -354.8246764042169, -335.6595936966935, -454.88608563097984, -411.4980241052667, -510.6455786744997, -444.7553786899655, -368.8005252763257, -345.1560806313414, -435.6766488038289, -376.1387673888131, -396.9634858195045, -332.75273908219765, -393.13421262984383, -338.45867418990525, -292.3525796392747, -330.0063407785351, -331.52691406104384, -242.13131134953963, -335.4566837110781, -311.91789176287466, -242.4598947228969, -317.4358679160512, -305.62286700802383, -296.30890491956313, -315.00419753753835, -311.02965865309454, -295.07417682622327, -227.03888000150673]","[-1392.4724736681214, -1025.5082042869333, -1392.4724736681214, -1405.8007697730495, -1386.95708234167, -1119.5776379744657, -1391.1123346222232, -1157.0970015477033, -1635.9230569918318, -1386.95708234167, -1386.95708234167, -951.5661069820287, -868.7027470631092, -861.7476118145909, -868.7027470631092, -951.5661069820287, -951.5423453754537, -893.1451472323332, -867.0798723926644, -861.6386011463617, -951.5423453754537, -870.7914694186452, -870.6279814760017, -1000.6945185813831, -868.5937363948799, -870.6279814760017, -785.3935455138954, -899.7759580019058, -906.6522098367684, -899.7759580019058, -766.866923881439]","[-1615.8271250596194, -1319.5292290755215, -1041.363297614073, -1107.7265856904992, -981.4859983898293, -848.3477616273983, -791.3417409807938, -886.4983691230055, -951.1683334163843, -727.162959839508, -802.3616040401122, -710.9107392520225, -795.4048404346347, -755.2726111738493, -918.3044924308156, -751.940754804802, -879.1972758229547, -677.9260005073622, -599.1069312797695, -675.837362210096, -613.9320672991764, -656.1531923391653, -745.9571178836927, -605.814249233072, -567.9271878010429, -540.5620813081096, -624.3237975880165, -575.9851240851408, -575.8023812489043, -641.8404186121442]","[32.25377607345581, 75.04665112495422, 118.66551804542542, 167.74677300453186, 221.10598397254944, 263.89253211021423, 300.5206472873688, 337.7412450313568, 375.49445605278015, 414.7875871658325, 453.3342652320862, 492.38548827171326, 531.1160771846771, 568.8856580257416, 603.4464151859283, 640.5797219276428, 676.8131980895996, 712.5961570739746, 746.8318791389465, 786.8755991458893, 828.5034182071686, 872.4352300167084, 915.5383720397949, 969.5527160167694, 1022.3975222110748, 1068.8501920700073, 1113.9021182060242, 1160.804270029068, 1202.4605259895325, 1265.4113380908966]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.01,4,"[-504.36196599593893, -283.24871315199175, -323.3916515439673, -337.40047722381536, -297.31355459084745, -153.4145104574481, -221.34106745183462, -99.57217808399884, -31.62205194475274, -36.62468315608032, -92.09198676969311, 67.45142357427855, -176.0532462096592, 245.37401968614915, -83.80087069108201, -103.19856632435258, -50.76699954343459, -91.39750304009002, 35.51233894344077, 26.794537531204213, 184.35827953847087, 111.12305766987333, 48.417784957325935, 154.32831442344406, 255.0720362924075, 86.51645615439452, 38.19676555826365, 209.7691399227113, 177.79236078984326, 332.16098030023096, 399.5709920738849]","[-1879.7790006379687, -1188.9308320554187, -1188.9308320554187, -1188.9308320554187, -1188.9308320554187, -1719.6032830779932, -984.2473839176837, -1133.5579952769558, -1133.5579952769558, -1299.4727037527928, -802.0270489655304, -1133.5579952769558, -1133.5579952769558, -802.0270489655304, -579.2355374112683, -596.8484755630625, -1082.60097218168, -734.3761898594682, -734.3761898594682, -1170.4703752237315, -739.9757673674335, -576.7987901132101, -428.69811067406386, -694.4232453311517, -801.9758240423175, -765.5143448126656, -87.66791902596913, -87.66791902596913, -87.66791902596913, -87.66791902596913, -87.66791902596913]","[-1283.622525915074, -928.5902907132909, -813.20733408813, -776.7006335853278, -813.0659276055685, -723.5857506296184, -775.1560510792187, -566.3177055185238, -606.4512770749232, -593.1829715872788, -599.242464190922, -597.1210896538546, -603.4955832549415, -581.0482555700232, -723.2439808585186, -604.4515371714765, -542.8252365084186, -473.22756178799426, -512.7497805895114, -483.25035619552034, -348.41910291792374, -456.5462102302569, -433.9976151144963, -429.70548948784403, -389.1467583866715, -461.9062222155996, -413.70144353434057, -253.21713008956462, -531.0451917178125, -371.0464298477133]","[27.418845891952515, 67.76835298538208, 110.57221913337708, 150.9018919467926, 191.19085097312927, 231.0679647922516, 271.2047908306122, 310.73932695388794, 348.07823395729065, 387.60872888565063, 425.5666129589081, 465.7826590538025, 503.0521137714386, 537.4159710407257, 570.8443241119385, 608.4581680297852, 649.0221638679504, 689.5169718265533, 735.512571811676, 781.3030550479889, 818.0647668838501, 858.0319139957428, 894.3979640007019, 935.0507497787476, 974.2562079429626, 1013.4186470508575, 1051.7642290592194, 1092.8703229427338, 1135.3884389400482, 1175.9867680072784]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.01,8,"[-530.0655537504455, -482.5757701927116, -483.72063074546844, -454.49284709509124, -463.3028241393535, -336.71506816002614, -402.74666027953845, -223.51034031095827, 14.449935118152524, -236.94804329479354, -48.51039291117081, -248.3386109124424, -96.9059586769541, -107.20113832716586, 23.341283931130533, 309.6725643687871, -23.5588887103724, -56.394599060278814, -227.31689505540174, -104.77443858250177, -121.2704949222509, -143.81438525658956, -146.4052511226596, -156.12693284083, -190.25942978955766, -152.84239915606673, -28.2962749592472, -87.18055246701853, -274.11393282318204, -75.36343873810951, -192.5217507773009]","[-1136.148545635986, -898.5019485276688, -1086.8859525832318, -1133.4179008229812, -1095.5033632583034, -1095.5033632583034, -1099.641655659736, -1040.0935463211972, -1040.0935463211972, -1040.0935463211972, -1073.9785394853948, -1039.7488750978328, -1039.7488750978328, -1039.7488750978328, -1039.7488750978328, -1003.3618469901305, -1040.8298263669174, -1003.3618469901305, -1039.7488750978328, -991.4608867626574, -991.4608867626574, -1040.8298263669174, -1039.7488750978328, -1040.8298263669174, -1042.318865688131, -1004.0083054910406, -1004.0083054910406, -1004.0083054910406, -1040.8298263669174, -1121.1438500348982, -1007.5010909418238]","[-1003.5798361962349, -821.2917842346166, -653.9638098656703, -824.7204736307096, -798.091098698125, -646.8992811468116, -600.6668896093244, -665.8993084119331, -596.8941064133769, -561.5782237299941, -610.467721467738, -541.6689229141336, -497.6608869915816, -570.2830864751459, -399.6151699552263, -641.9911149379863, -549.203350440147, -522.8464171772677, -591.1985482442657, -610.0928115825105, -659.4971934948456, -612.7739889447964, -715.0785359739226, -498.3082088565089, -640.8849927535739, -612.6737777293607, -572.7540735727523, -880.3774485227742, -556.7852209051296, -637.3084501159553]","[27.419340133666992, 73.24142408370972, 121.14749097824097, 163.03856110572815, 207.7761549949646, 245.74216723442078, 279.62546706199646, 313.0920660495758, 349.736022233963, 381.6878709793091, 414.8516728878021, 447.4047441482544, 478.90189599990845, 510.49307203292847, 542.4620308876038, 574.9528620243073, 607.268100976944, 645.3019890785217, 681.8674268722534, 715.6417820453644, 749.1427490711212, 782.9890880584717, 817.116956949234, 851.6886160373688, 886.1273381710052, 918.664920091629, 952.9451978206635, 1104.2826130390167, 1136.1674420833588, 1163.599100112915]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.01,16,"[-535.5793892849423, -405.3093910068699, -421.48432895019744, -395.99228458276673, -361.7236776748699, -373.3898922953816, -318.7603319783907, -380.2289375014891, -422.30713732644006, -387.09927537077607, -353.9582873659348, -436.82948124681093, -311.2125816463797, -308.90887772762613, -280.28379614166397, -404.1053289137709, -409.25624972753644, -337.08454741964584, -380.86479359238047, -373.9436707118349, -343.19438762558184, -167.89731528420603, -404.42411427407706, -257.1047333304291, -397.3242176337985, -365.69346204628215, -399.83953907632485, -402.45054828603753, -381.73583719981787, -398.714973754766, -372.5694321304347]","[-1085.6621385982028, -1367.589343371939, -887.6285106542025, -887.6285106542025, -887.6285106542025, -887.6285106542025, -906.7919577077048, -826.3917670573626, -965.6456672964463, -951.4304892808477, -951.4304892808477, -964.6766534092651, -932.4652691277643, -960.0434169862563, -964.6766534092651, -960.0434169862563, -960.0434169862563, -952.2637477642361, -952.2637477642361, -952.2637477642361, -953.157848530478, -1113.7370685842156, -952.2637477642361, -952.2637477642361, -892.0785294290133, -952.2637477642361, -1063.697214344808, -952.2637477642361, -960.0434169862563, -965.6456672964463, -965.6456672964463]","[-917.2373003601249, -826.2897448836534, -887.342180551974, -839.9718585123944, -815.9529598942037, -802.3597470415575, -780.6410573126983, -872.9442538917071, -870.0342249319754, -850.5419901170847, -689.5353586026995, -776.348762050565, -585.2174059925849, -801.66558553146, -738.8806930957244, -616.4898827591182, -652.416732887135, -741.7858807927632, -779.5772444718299, -690.2566896327295, -686.0039646165063, -752.3174273094729, -593.3173480615524, -724.962030376892, -793.1622732028679, -755.0078425782552, -693.64803419851, -805.6040945135414, -734.9937127302355, -637.4366023741275]","[22.129350900650024, 57.53396987915039, 96.02365398406982, 128.05464816093445, 157.24086999893188, 183.52749586105347, 208.86280703544617, 234.69051504135132, 264.5210301876068, 292.73322105407715, 321.3768398761749, 348.9961590766907, 377.29575395584106, 405.66719603538513, 435.2960641384125, 464.8383150100708, 501.5868000984192, 533.2110540866852, 565.7794728279114, 599.077898979187, 632.4961919784546, 669.1273210048676, 701.5368609428406, 730.4344770908356, 760.1891572475433, 792.313686132431, 822.7039830684662, 856.0016350746155, 890.6864290237427, 920.7863049507141]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.025,2,"[-583.8046146114305, -407.7645113163411, -390.717493838124, -366.45616275767895, -463.4072935343763, -440.92267145598134, -436.0683090826848, -371.3273136105139, -450.71986528447735, -363.45101164027795, -420.40643920310305, -185.71160970887215, -386.22900900838255, 150.33830118904694, -283.6533810733451, -436.1409849449613, -435.6343243841053, -340.7256638860774, -471.84282759817734, -286.561741507844, -471.6028019763891, -433.393991143027, -421.45372825527784, -413.0328970445805, -452.56833802728295, -492.185987680393, -438.9549582074734, -390.3090845421207, -364.7307780544613, -355.7548557611857, -441.6975067302567]","[-1394.3537913715684, -1411.066286952615, -1411.066286952615, -1406.433050529606, -1414.042990368699, -1407.3365670123965, -1411.066286952615, -1414.8025207548005, -1387.5458609239408, -1394.3537913715684, -1364.8246491631958, -1406.433050529606, -1406.433050529606, -1406.433050529606, -1406.433050529606, -1396.3636453196527, -1388.3172213875682, -1370.6502134191219, -1414.144497460024, -1510.986005286605, -1390.6564417613235, -1386.9267218211048, -1386.0232053383145, -1394.3537913715684, -1406.433050529606, -1402.1688598058433, -1394.3537913715684, -1057.6658482720832, -1392.4724736681214, -1411.8995454360033, -1394.3537913715684]","[-2266.2293010826984, -1838.9031983368654, -1521.9533382658128, -1186.4371467085484, -1026.5138819777394, -904.0883606830397, -940.3364893058588, -852.6007548317943, -720.8825498192359, -753.883153155764, -719.6522637486648, -758.6416748473179, -768.3247282283057, -841.8041872743655, -829.2394555573981, -863.9217721186765, -733.0531497390529, -812.4385132802872, -755.4759415736742, -799.0773122023936, -795.1052375197419, -815.9664786621022, -759.3163829620697, -728.5655366476497, -796.2401776216925, -811.832011490788, -880.2778963307044, -825.8113398846984, -748.111614637355, -692.4586804451311]","[22.606550216674805, 61.639145374298096, 100.50902724266052, 136.38150930404663, 176.7045192718506, 211.91503524780273, 247.43897438049316, 285.4900252819061, 320.52437019348145, 354.8819181919098, 387.26875615119934, 419.9698941707611, 452.03208017349243, 491.4204180240631, 525.6901922225952, 557.548002243042, 589.484090089798, 620.340585231781, 652.9966771602631, 682.728678226471, 712.8276090621948, 743.6986470222473, 774.5840232372284, 2601.595097064972, 2648.4080781936646, 2677.0640091896057, 2710.7838492393494, 2743.2875893115997, 2773.6297001838684, 2802.022825241089]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.025,4,"[-343.16830492165354, -459.371035932415, -274.33421583347433, -371.4757914164095, -314.6838595470511, -143.83224262685627, -295.22735532193826, -106.32718823149631, -288.58677037865573, 2.9291282795421694, -146.38887876323838, -106.13938935579591, -159.00309837868366, -210.35695622861, -190.5879823323837, -208.61327876580802, -216.62286485564783, -204.73066522488813, -210.7925947698983, -234.1586967625942, -191.17771238524787, -213.95182108610192, -210.0943239314636, -126.08690244709823, -215.37058773379565, -197.51336480599704, -137.96938126133753, -209.74139796259087, -230.33718618607128, -203.84063942042053, -141.81808783134528]","[-9253.597444345487, -1386.4790981992141, -9253.597444345487, -865.8282545292134, -850.8736617571451, -940.4845404224866, -940.4845404224866, -865.8282545292134, -850.8736617571451, -846.0624923684654, -833.4833340671184, -818.0270458801144, -865.8282545292134, -818.0270458801144, -853.75345941928, -818.0270458801144, -1242.836173602563, -1129.1548488103167, -800.8554526641335, -1242.836173602563, -1242.836173602563, -796.4857107130013, -1129.1548488103167, -760.1879870914481, -796.4857107130013, -796.4857107130013, -760.7117684321386, -788.8243320983231, -799.3397775319768, -779.861320143932, -806.4618407871724]","[-1182.175366147128, -783.031970283844, -810.812795132928, -659.3759574628906, -706.9429482909766, -799.4565844523568, -642.6965217783153, -700.2393346442867, -815.8505183773059, -641.2978396467545, -613.2278915023646, -687.796410795559, -568.8702500307086, -617.2632529629811, -535.3305370676067, -653.0897851741668, -477.7439987978232, -567.9756948961863, -617.6341578697654, -571.8355501761375, -509.6539268343116, -569.9236976176487, -469.94248713807553, -563.7800899367433, -495.4471133367889, -678.6552506618293, -545.9712467892834, -508.20751324527214, -520.4942905989443, -541.7293045755717]","[24.659069061279297, 65.65143299102783, 102.19374799728394, 139.1628909111023, 174.43422722816467, 211.2485318183899, 250.2357439994812, 289.9993689060211, 327.14675402641296, 367.3860430717468, 404.814227104187, 447.48465514183044, 485.01739406585693, 522.8089861869812, 559.2329840660095, 597.0849680900574, 635.2051649093628, 671.3992991447449, 708.5743179321289, 2540.626665830612, 2583.950978040695, 2717.6765580177307, 2772.4068961143494, 2814.2178769111633, 2865.0473749637604, 2902.0771050453186, 2938.0224602222443, 2971.6105341911316, 3006.638401031494, 3039.585776090622]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.025,8,"[-658.1421499993111, -469.50620894764484, -115.88446413536593, -260.856874767622, -254.5533805894274, -175.129609033608, -120.08114774318334, -178.11294353878785, -90.88775577423053, -109.35377965591806, -120.94773051360845, -79.98693408342882, 74.28786229850125, -28.28171575089398, 146.02803432642685, 74.85762093210255, -193.12686349593133, 155.79903855541002, 538.390225423072, 353.19591629266984, 571.5625088882473, 473.6327032197875, 667.889213997812, 517.6116533173279, 488.5007271599733, 574.454661063339, 885.9095595045164, 483.0235009596855, 681.3667669276821, 768.4544688022611, 683.1483120312942]","[-5127.249157347005, -666.4403406179055, -666.4403406179055, -666.4403406179055, -666.4403406179055, -666.4403406179055, -657.3239172542858, -666.4403406179055, -547.050468752615, -547.050468752615, -547.050468752615, -547.050468752615, -668.8431379655917, -483.7306788274111, -94.54109674895494, -94.54109674895494, 138.3349118375367, 138.3349118375367, 574.5503312353203, 138.3349118375367, -210.1428712231535, -210.1428712231535, 574.5503312353203, 573.7941086800806, 573.7941086800806, 573.7941086800806, 573.7941086800806, -965.2150977809644, -251.8623726008057, -566.9677940197632, -251.8623726008057]","[-1218.554867566862, -861.4791292645966, -761.6541669101421, -852.1078026507682, -755.0344894357447, -728.3237765382677, -822.1609679752828, -593.9093339176707, -739.6571408897021, -642.302576492825, -640.9626466406874, -701.3047790318992, -622.7280123807068, -693.4657563168449, -611.0751274487077, -639.1022957334012, -619.4496438133549, -591.0768524047746, -655.6759441836462, -261.7868213366885, -375.30082764012525, -632.5335247486333, -426.3395011221224, -579.1787447919099, -492.1461670531547, -490.7494780638839, -664.1504304302075, -236.0214856776542, -205.6025887202839, -151.61808962484463]","[22.79918885231018, 69.66011595726013, 112.3709020614624, 152.7811620235443, 195.4763147830963, 236.9745819568634, 280.27605390548706, 321.64835596084595, 365.26712799072266, 2212.7021560668945, 2257.1148359775543, 2296.772936820984, 2338.2411439418793, 2383.5626287460327, 2434.445235967636, 2476.7001678943634, 2520.2321541309357, 2560.42889380455, 2598.781399011612, 2637.48668384552, 2677.9297540187836, 2713.973134994507, 2751.4235038757324, 2787.0478658676147, 2828.792331933975, 2874.092700958252, 2922.136543035507, 2961.1215789318085, 3003.408951997757, 3046.527298927307]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",64,30,31,0.75,0.01,0.025,16,"[-413.6457562109917, -439.4774879295825, -275.0511408807734, -461.4060742296504, -468.5927844767284, -351.79721405594535, -426.7418404363522, -327.02986430618193, -21.58364560252086, 74.09731083724472, 434.3442841855217, 195.19210136811287, 237.53339852662907, 161.64497373479617, 222.6815123120018, 280.06545631071805, 176.0455053494353, 113.1983990550298, 255.44107874634096, 583.6701449746882, 721.9092636200401, 748.7343724236841, 433.2856144950971, 514.0119695066312, 374.6810737098635, 815.7754730109332, 636.8432642331245, 680.673026688869, 628.3566456942594, 971.5567967343251, 533.3994082542455]","[-1392.3605034660307, -1392.3605034660307, -1410.1649231369404, -1411.0110549253768, -1411.0110549253768, -1245.3405902908396, -752.3376840680328, -654.7329848218201, -649.1657067452268, -638.6122960030061, -398.2483596577164, -408.99127956590667, -408.99127956590667, -408.99127956590667, -408.99127956590667, -364.6229720216559, -253.8887949406806, 118.45449216458216, 118.45449216458216, 183.6679029120814, 118.45449216458216, 180.6577638673353, 180.6577638673353, 180.6577638673353, 118.45449216458216, 180.6577638673353, 167.42647531056943, 167.42647531056943, 167.42647531056943, 167.42647531056943, 180.6577638673353]","[-975.259783838406, -700.9640315870149, -806.013221951993, -800.94684235255, -806.7297061135893, -913.4245525275842, -780.5726570510769, -645.2474369911396, -620.5569993084283, -596.6485590668364, -447.6803813482777, -321.9462478337027, -385.1235007943738, -339.4457071159236, -431.10096855913173, -330.6923464111392, -404.41923882935794, -338.24605973256547, -219.57176522481006, -255.62667867468681, -94.69916471314325, -167.75981114121066, -263.5278788394546, -169.6731909478326, -187.12237005744754, -215.5608103934499, -95.46113709605311, -148.6424830853113, -149.04540538415915, -202.83236161231633]","[1118.503543138504, 1166.3693399429321, 1199.281580209732, 1235.2530310153961, 1269.6937108039856, 1304.3682482242584, 1338.2819521427155, 1371.8675730228424, 1402.6395452022552, 1440.2753438949585, 1478.2362730503082, 1517.2066812515259, 1554.4801869392395, 1591.6907761096954, 1629.346233844757, 1664.8012900352478, 1699.2360589504242, 1732.3132109642029, 1857.5949470996857, 1892.3833379745483, 1922.3078310489655, 1951.402410030365, 1980.951149225235, 2012.1495912075043, 2039.3728499412537, 2069.637619972229, 2100.3114280700684, 2131.191727876663, 2162.4604580402374, 2206.6785349845886]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984]"
