internal_nodes,leaf_nodes,has_wind,reward_type,is_diverse,pop_size,max_gens,best_training,best_test,average_fitness,time_elapsed,num_evals,final_population_fitnesses
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,True,16,10,"[np.float64(-214.8928260692897), np.float64(-202.50082399193744), np.float64(-113.63107407413563), np.float64(-123.00171511563136), np.float64(-142.7013644231527), np.float64(-153.6300895473476), np.float64(-99.6238319925836), np.float64(-119.58147346721987), np.float64(-99.09217953298553), np.float64(-99.54806178268183), np.float64(-163.6421015336039)]","[np.float64(-4089.073112532503), np.float64(-2342.7938309587817), np.float64(-1566.0593776205694), np.float64(-8269.92921111194), np.float64(-1992.8461611299222), np.float64(-3368.590896667154), np.float64(-2046.91930480145), np.float64(-5668.391780641369), np.float64(-2817.362182899429), np.float64(-2817.362182899429), np.float64(-4480.05122648996)]","[np.float64(-446.47354321468583), np.float64(-458.9419384961485), np.float64(-392.3862618640972), np.float64(-377.5434020729093), np.float64(-419.2724378706871), np.float64(-365.7511558700075), np.float64(-393.83038497784537), np.float64(-345.57709502024113), np.float64(-410.4350897059071), np.float64(-387.4367594070286), np.float64(-399.2992104121289)]","[1.745307207107544, 53.544252157211304, 104.13917016983032, 149.89286398887634, 195.34038305282593, 241.39289927482605, 288.62872409820557, 331.96771216392517, 377.07966208457947, 420.55305337905884]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176]","[np.float64(-395.45682029827555), np.float64(-299.8884082803564), np.float64(-248.72051699930452), np.float64(-412.03614468910445), np.float64(-228.6217298451473), np.float64(-451.4578264029806), np.float64(-311.28114897818784), np.float64(-411.274774327362), np.float64(-163.6421015336039), np.float64(-414.35490715754656), np.float64(-394.21706246782185), np.float64(-276.85335626255574), np.float64(-316.79389144173945), np.float64(-589.836669120238), np.float64(-694.7484823089743), np.float64(-779.6035264808634)]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,False,16,10,"[np.float64(-194.686100777847), np.float64(-164.51150647448756), np.float64(-119.16786616766835), np.float64(-129.37127674369302), np.float64(-82.92095536075878), np.float64(-98.40695409391904), np.float64(-99.72376625248708), np.float64(-85.9103296523109), np.float64(-82.05028189275336), np.float64(-98.57727090096799), np.float64(-124.9481344013936)]","[np.float64(-2786.6071621226), np.float64(-2786.6071621226), np.float64(-2786.6071621226), np.float64(-1315.7100861534755), np.float64(-1392.4725010211098), np.float64(-1391.9456850751087), np.float64(-1391.9456850751087), np.float64(-1391.9456850751087), np.float64(-1391.9456850751087), np.float64(-1386.4791868453613), np.float64(-1386.4791868453613)]","[np.float64(-397.25426543297397), np.float64(-357.7175061562567), np.float64(-227.45515173633402), np.float64(-296.26456358788414), np.float64(-167.3450824888288), np.float64(-186.1782455786904), np.float64(-134.41163373554414), np.float64(-148.20710385349227), np.float64(-148.68126713822454), np.float64(-132.70543187532496), np.float64(-146.1481571324451)]","[4.003948926925659, 6.4028849601745605, 8.646185159683228, 10.302574872970581, 11.979058980941772, 13.565088033676147, 14.956787109375, 16.463592052459717, 18.22245693206787, 19.787476062774658]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176]","[np.float64(-141.15222898024996), np.float64(-124.9481344013936), np.float64(-170.6858398941696), np.float64(-128.33904821669006), np.float64(-136.2401290500241), np.float64(-151.1186254513601), np.float64(-141.23965035840868), np.float64(-140.13755572291723), np.float64(-197.08239992146915), np.float64(-130.45331244195435), np.float64(-141.28810958243432), np.float64(-134.44479716233724), np.float64(-169.13231491209234), np.float64(-151.9345300911346), np.float64(-153.62946949330527), np.float64(-126.54436843918101)]"
