internal_nodes,leaf_nodes,has_wind,reward_type,is_diverse,pop_size,max_gens,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,False,16,30,"[np.float64(-115.69443457562986), np.float64(-110.46050181956029), np.float64(-98.1013033844858), np.float64(-98.79969432320813), np.float64(-77.96175496221365), np.float64(-43.734618877486945), np.float64(-68.7087983545528), np.float64(-76.14043711183517), np.float64(-64.935718613683), np.float64(-66.05453391456696), np.float64(-64.18487834272473), np.float64(-58.244675025807034), np.float64(-64.45429529358698), np.float64(-60.07569007059342), np.float64(-59.307219606615625), np.float64(-60.01784587746984), np.float64(-54.27935691702307), np.float64(-64.96120053801219), np.float64(-29.53271599654023), np.float64(-24.66755479501473), np.float64(-5.758681291673355), np.float64(-47.49699058709512), np.float64(-67.16607919822027), np.float64(-59.600145801879535), np.float64(-73.98569291452527), np.float64(-49.66251924004716), np.float64(-23.916273603509303), np.float64(-76.81119069406157), np.float64(-60.6040563203642), np.float64(-68.65848030002988), np.float64(-79.3743510604253)]","[np.float64(-1252.7927595847693), np.float64(-1252.7927595847693), np.float64(-1254.1621215606137), np.float64(-1252.7927595847693), np.float64(-653.9759459996276), np.float64(-653.9759459996276), np.float64(-659.4960246059642), np.float64(-1145.9932629181756), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-761.1659373362069), np.float64(-681.1299491931969), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-709.9629282691299), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-703.7248021241601), np.float64(-713.4033199842221)]","[np.float64(-384.98473418900846), np.float64(-243.40045344029608), np.float64(-171.57869622525976), np.float64(-166.97399484317725), np.float64(-177.31325106236017), np.float64(-124.21875779887368), np.float64(-137.07665977935937), np.float64(-119.78377489096752), np.float64(-136.81570614924834), np.float64(-120.81260235073505), np.float64(-99.48851565266337), np.float64(-153.38967487778385), np.float64(-141.94725977937665), np.float64(-129.74795434306412), np.float64(-109.22032946786611), np.float64(-138.58630044307455), np.float64(-119.03456301554401), np.float64(-151.78231798102394), np.float64(-120.70539111714376), np.float64(-136.06499541524414), np.float64(-158.828460902947), np.float64(-96.12592264047632), np.float64(-154.24946884532227), np.float64(-128.08048175456133), np.float64(-113.17893605505179), np.float64(-119.11376774819867), np.float64(-91.78559050819626), np.float64(-135.51917252658558), np.float64(-102.40668873175409), np.float64(-133.19844116394765), np.float64(-131.49077899233515)]","[5.319249391555786, 8.389668703079224, 11.761818647384644, 15.06529974937439, 19.13959574699402, 22.514376640319824, 26.044949054718018, 29.277486324310303, 33.038613080978394, 36.58424162864685, 40.35127925872803, 43.96152472496033, 47.596885204315186, 51.21946096420288, 54.94160461425781, 58.246211528778076, 62.01405429840088, 65.54017758369446, 68.85911726951599, 72.62997627258301, 76.66328382492065, 80.16313600540161, 84.27796006202698, 87.77868175506592, 91.81251001358032, 96.11597609519958, 99.9262912273407, 104.20376777648926, 108.04605460166931, 111.63183093070984]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176, 192, 208, 224, 240, 256, 272, 288, 304, 320, 336, 352, 368, 384, 400, 416, 432, 448, 464, 480, 496]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,True,16,30,"[np.float64(-98.73213103927766), np.float64(-92.0189713746947), np.float64(-87.00350147901284), np.float64(-65.4906790250558), np.float64(-60.305778088845315), np.float64(-59.68837844032712), np.float64(-66.66374350763314), np.float64(-63.850077290760034), np.float64(-59.620254708499054), np.float64(-65.07687153813349), np.float64(-68.48211859661426), np.float64(-62.096468889055004), np.float64(-55.09794419373335), np.float64(-34.16586764205193), np.float64(-31.693461499913553), np.float64(-14.506663345580725), np.float64(-16.563885604256193), np.float64(-11.651548637400534), np.float64(-22.024329795125848), np.float64(-20.073960769061294), np.float64(6.815568107721288), np.float64(-24.768599705326363), np.float64(-14.958199865791041), np.float64(-21.699463342373612), np.float64(-22.344683300908514), np.float64(-19.129793570367276), np.float64(-3.8373773798005457), np.float64(-16.152796213225137), np.float64(-35.82001793116496), np.float64(-17.74951260494771), np.float64(-18.061148128282948)]","[np.float64(-970.7588253269291), np.float64(-970.7588253269291), np.float64(-1548.485777762408), np.float64(-1548.485777762408), np.float64(-763.7790562187122), np.float64(-2475.64661640296), np.float64(-763.7790562187122), np.float64(-763.7790562187122), np.float64(-769.2881213558115), np.float64(-763.7790562187122), np.float64(-763.7790562187122), np.float64(-763.7790562187122), np.float64(-763.7790562187122), np.float64(-329.88542545549944), np.float64(-329.88542545549944), np.float64(-329.88542545549944), np.float64(-528.953626027265), np.float64(-321.24807544655096), np.float64(-321.24807544655096), np.float64(-321.24807544655096), np.float64(-764.8458719129276), np.float64(-329.88542545549944), np.float64(-519.5014727031071), np.float64(-329.88542545549944), np.float64(-329.88542545549944), np.float64(-1200.920988677841), np.float64(-1658.5577086201474), np.float64(-477.64211357836905), np.float64(-477.64211357836905), np.float64(-479.2754246839037), np.float64(-477.64211357836905)]","[np.float64(-328.5616291493857), np.float64(-141.90783039371067), np.float64(-135.82745730708268), np.float64(-181.94692973768792), np.float64(-230.33375432325374), np.float64(-130.7591748957917), np.float64(-235.21770440797857), np.float64(-156.35833605234006), np.float64(-167.96387260820558), np.float64(-166.01893004356225), np.float64(-105.98864897848551), np.float64(-147.19499824834725), np.float64(-127.989623432097), np.float64(-141.44990556214634), np.float64(-191.05777334479467), np.float64(-156.14046643892573), np.float64(-158.02273349134435), np.float64(-109.92429432768316), np.float64(-210.4548256375399), np.float64(-73.12633715284754), np.float64(-133.91667777219266), np.float64(-133.40296455958517), np.float64(-162.07419944625195), np.float64(-62.570940030595196), np.float64(-83.0395831799116), np.float64(-143.9687235119361), np.float64(-149.9968066311393), np.float64(-159.51874034519398), np.float64(-184.86586172960733), np.float64(-201.36339978439045), np.float64(-155.47707458239856)]","[157.47101068496704, 161.0022475719452, 164.58739972114563, 168.16090536117554, 172.1364176273346, 176.4024851322174, 180.70810508728027, 186.06251883506775, 190.84908366203308, 196.3456437587738, 201.3802206516266, 206.32251906394958, 211.57008147239685, 215.9204547405243, 221.02994585037231, 226.15132308006287, 232.28800797462463, 238.3883662223816, 244.63507080078125, 250.37613201141357, 256.6362361907959, 262.6765594482422, 269.85751366615295, 276.76761078834534, 283.4519019126892, 290.23659086227417, 296.0137298107147, 301.4433138370514, 307.53346943855286, 312.54253458976746]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176, 192, 208, 224, 240, 256, 272, 288, 304, 320, 336, 352, 368, 384, 400, 416, 432, 448, 464, 480, 496]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,avg,False,16,30,"[np.float64(-137.25982030324613), np.float64(-110.38266962985253), np.float64(-117.31762457873722), np.float64(-51.65566588288591), np.float64(104.82386500862057), np.float64(89.38705564767076), np.float64(18.500321069234467), np.float64(164.90158295026137), np.float64(65.7713759174856), np.float64(41.950506812430966), np.float64(75.71716584297921), np.float64(89.03861790742538), np.float64(115.01937127223796), np.float64(96.67230954217828), np.float64(114.53790198884113), np.float64(148.80948573108867), np.float64(94.9444244459971), np.float64(35.263623804003686), np.float64(80.37068959301713), np.float64(79.46947029612366), np.float64(126.86823207272307), np.float64(31.342918288558486), np.float64(23.731664314478788), np.float64(40.597982053209755), np.float64(24.728292873912537), np.float64(85.51277635766517), np.float64(99.37904413737681), np.float64(75.59192832632226), np.float64(71.19654329239897), np.float64(46.82415978406037), np.float64(81.17395407832507)]","[np.float64(-1182.8266063013155), np.float64(-1182.8266063013155), np.float64(-1182.8266063013155), np.float64(-614.4125722023794), np.float64(435.00879526897324), np.float64(435.00879526897324), np.float64(435.00879526897324), np.float64(435.00879526897324), np.float64(437.56141664862105), np.float64(437.56141664862105), np.float64(435.00879526897324), np.float64(281.51365536400084), np.float64(281.51365536400084), np.float64(260.33066588736654), np.float64(281.51365536400084), np.float64(260.33066588736654), np.float64(-711.3086718017651), np.float64(-403.4609725903377), np.float64(260.33066588736654), np.float64(260.33066588736654), np.float64(260.33066588736654), np.float64(260.33066588736654), np.float64(-78.00332124459601), np.float64(129.83777822108792), np.float64(214.32735218416278), np.float64(214.32735218416278), np.float64(214.32735218416278), np.float64(489.69729101951555), np.float64(489.69729101951555), np.float64(-22.565504902305463), np.float64(489.69729101951555)]","[np.float64(-403.32319965613874), np.float64(-173.4113713126469), np.float64(-168.70461012420714), np.float64(-124.18032814200167), np.float64(-124.95602311501705), np.float64(-181.81620096578428), np.float64(-159.59224895700686), np.float64(-1.7485518963909605), np.float64(-60.70101935471288), np.float64(-111.934135707503), np.float64(-103.89879169070988), np.float64(-109.12799381358992), np.float64(-66.10582038077239), np.float64(-26.729614372675123), np.float64(2.659048903546687), np.float64(-37.32934835925788), np.float64(-89.6600792926117), np.float64(-110.20492431990397), np.float64(-76.35440046198231), np.float64(-78.7637589063491), np.float64(-76.39102542724746), np.float64(-99.75947481363937), np.float64(-111.83395700183026), np.float64(-109.2899975711457), np.float64(-103.4023764488427), np.float64(-121.17304292907897), np.float64(-144.90206698442296), np.float64(-88.43925334591276), np.float64(-84.14230209089567), np.float64(-66.08189876335257), np.float64(-33.22976371888926)]","[3.9623701572418213, 7.976518154144287, 12.296826124191284, 17.19877791404724, 25.24681329727173, 33.78958821296692, 42.44444751739502, 51.51433992385864, 60.2913601398468, 67.12239837646484, 77.00827860832214, 86.56431412696838, 95.49759268760681, 105.4263687133789, 115.87295842170715, 125.99766087532043, 136.08677649497986, 145.68668270111084, 155.24373269081116, 164.78251814842224, 174.0335144996643, 182.99914932250977, 192.39886140823364, 201.19230127334595, 208.75149989128113, 217.3799343109131, 225.66745471954346, 233.7497308254242, 242.30849599838257, 251.57287096977234]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176, 192, 208, 224, 240, 256, 272, 288, 304, 320, 336, 352, 368, 384, 400, 416, 432, 448, 464, 480, 496]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,avg,True,16,30,"[np.float64(-151.49113029889915), np.float64(-94.38864451729356), np.float64(-102.23076515863383), np.float64(-76.37112504786754), np.float64(-80.04179045624797), np.float64(-74.63903574362818), np.float64(-50.51367804974715), np.float64(-71.00985475555066), np.float64(-42.03367781791746), np.float64(-47.06259579734029), np.float64(-70.42557212365908), np.float64(-75.51253737284927), np.float64(-71.17458021726021), np.float64(-67.92659568927533), np.float64(-65.24154730419876), np.float64(-51.68693370256947), np.float64(-77.21448118566562), np.float64(-69.79324738148811), np.float64(-56.4918341432028), np.float64(-38.020322185089555), np.float64(-63.064417709677755), np.float64(-46.0421638902733), np.float64(-60.44953038000226), np.float64(-29.739006177329863), np.float64(-54.381732263394554), np.float64(-63.68479649481318), np.float64(-68.47097380507071), np.float64(-23.07713438396298), np.float64(-37.98020523736778), np.float64(-57.47348794251125), np.float64(-52.6428433404684)]","[np.float64(-1558.5031377723694), np.float64(-1644.3695846590217), np.float64(-1171.68341517194), np.float64(-1171.68341517194), np.float64(-1171.68341517194), np.float64(-4421.015810267538), np.float64(-4421.558587264877), np.float64(-4421.558587264877), np.float64(-4422.196943962805), np.float64(-4422.196943962805), np.float64(-4421.558587264877), np.float64(-4393.987117208664), np.float64(-1734.967962809254), np.float64(-4378.3194144810095), np.float64(-4378.3194144810095), np.float64(-2297.8342192557297), np.float64(-2297.8342192557297), np.float64(-2297.8342192557297), np.float64(-3048.5951148239646), np.float64(-2297.8342192557297), np.float64(-2297.8342192557297), np.float64(-1150.3913525237767), np.float64(-1150.3913525237767), np.float64(-1147.753469475727), np.float64(-1147.753469475727), np.float64(-1126.0969641210647), np.float64(-1147.753469475727), np.float64(-1147.753469475727), np.float64(-1147.753469475727), np.float64(-1136.609883844439), np.float64(-1136.609883844439)]","[np.float64(-483.69711537271064), np.float64(-260.7635541196021), np.float64(-169.90427765927205), np.float64(-109.29618623444523), np.float64(-110.52860780625899), np.float64(-150.54331333880032), np.float64(-145.77620655997737), np.float64(-151.07760196092477), np.float64(-134.75860113973377), np.float64(-193.50983928485778), np.float64(-158.61239448782038), np.float64(-216.60659396356763), np.float64(-186.33486902437403), np.float64(-186.94049127377644), np.float64(-243.23084534669806), np.float64(-191.90871655846095), np.float64(-160.98752936254823), np.float64(-176.3257162536854), np.float64(-188.21715501360853), np.float64(-119.9626533590556), np.float64(-178.79741666006154), np.float64(-131.64002829109316), np.float64(-105.74075756035997), np.float64(-124.20991287477965), np.float64(-103.49799350824044), np.float64(-98.01284246988205), np.float64(-159.054153179028), np.float64(-173.20228537932866), np.float64(-157.33338967011082), np.float64(-142.14631999983303), np.float64(-162.51776877070262)]","[158.0112009048462, 162.45504450798035, 166.70362854003906, 170.4166853427887, 174.32926607131958, 178.75691080093384, 183.5769922733307, 188.7281310558319, 194.22767162322998, 198.72662353515625, 203.80035138130188, 208.847820520401, 214.50608134269714, 220.75649213790894, 225.74366188049316, 231.7287313938141, 235.99617314338684, 240.5269911289215, 244.75359964370728, 249.49961018562317, 254.05542087554932, 258.4127836227417, 264.17522406578064, 271.2551898956299, 279.03554940223694, 286.49865460395813, 292.29793667793274, 299.8880262374878, 307.37855529785156, 315.5642476081848]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176, 192, 208, 224, 240, 256, 272, 288, 304, 320, 336, 352, 368, 384, 400, 416, 432, 448, 464, 480, 496]"
