internal_nodes,leaf_nodes,has_wind,reward_type,pop_size,max_gens,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,64,50,"[np.float64(-63.58996746613891), np.float64(-62.70970106432522), np.float64(-75.8302449085417), np.float64(-81.07189413252065), np.float64(-70.60101146387709), np.float64(-49.74129902221357), np.float64(-66.3839421253444), np.float64(-51.92004687246923), np.float64(-36.93338446921392), np.float64(-49.6142908747254), np.float64(-53.53924449013891), np.float64(-58.58456852615084), np.float64(-40.689475781266125), np.float64(-29.67483286558122), np.float64(-11.152400463657893), np.float64(-18.44783828954275), np.float64(-11.903294404597471), np.float64(-23.375608437236227), np.float64(17.232405299149246), np.float64(86.22011116605651), np.float64(-6.447410373270723), np.float64(20.91260644029591), np.float64(20.503724239877616), np.float64(17.448048733765933), np.float64(20.38691759896138), np.float64(15.447580490271827), np.float64(39.59708140879807), np.float64(21.54721673723521), np.float64(48.117667457997655), np.float64(34.17429893769257), np.float64(38.167272739179495), np.float64(47.34025595246935), np.float64(51.19503031095206), np.float64(49.007736360771204), np.float64(80.17509478025174), np.float64(65.7531698708096), np.float64(78.66940005302641), np.float64(39.22983713422841), np.float64(77.41031193257814), np.float64(85.79266322403805), np.float64(72.21102376647255), np.float64(91.45273157721991), np.float64(60.350355919386445), np.float64(88.85398907518075), np.float64(57.50656093894757), np.float64(97.52112591554746), np.float64(83.77645197184134), np.float64(51.19397129696944), np.float64(105.45324469811358), np.float64(71.22369874527405), np.float64(63.269157161393196)]","[np.float64(-1412.3770458844913), np.float64(-1385.657296204844), np.float64(-1156.4156255974567), np.float64(-778.5229809189641), np.float64(-772.3990997727565), np.float64(-1296.3975169877249), np.float64(-786.1472833311354), np.float64(-772.3990997727565), np.float64(-786.1472833311354), np.float64(-1087.501815544168), np.float64(-1631.7837337137644), np.float64(-772.1764538107566), np.float64(-938.6085112568369), np.float64(-567.0734339320231), np.float64(-328.30515124166243), np.float64(-562.9249726817509), np.float64(-317.20918838496425), np.float64(-329.39161536958306), np.float64(-494.2832489854462), np.float64(-494.2832489854462), np.float64(-494.2832489854462), np.float64(-494.2832489854462), np.float64(-661.375502944089), np.float64(-661.375502944089), np.float64(-662.1805372212256), np.float64(-333.7954149834343), np.float64(-635.1485889439994), np.float64(-333.7954149834343), np.float64(-648.2944708239901), np.float64(-648.2944708239901), np.float64(-344.26454114055866), np.float64(-813.1080696852787), np.float64(-1034.61651887945), np.float64(-813.1080696852787), np.float64(-24.389871160630342), np.float64(-24.389871160630342), np.float64(-822.7154455078288), np.float64(-24.389871160630342), np.float64(-4.792790029404429), np.float64(24.151873771185876), np.float64(24.151873771185876), np.float64(434.1029045375618), np.float64(-21.349556628609847), np.float64(434.1029045375618), np.float64(-69.20713572815734), np.float64(3.7909820359056283), np.float64(3.7909820359056283), np.float64(3.7909820359056283), np.float64(3.7909820359056283), np.float64(3.2012742291327783), np.float64(-2.6328276051430493)]","[np.float64(-397.2066776730178), np.float64(-212.1170070244655), np.float64(-169.9777463963565), np.float64(-151.2482663632523), np.float64(-186.06863872201927), np.float64(-202.02564783359668), np.float64(-183.80544304894238), np.float64(-164.18669610383782), np.float64(-162.12562197598805), np.float64(-181.88664825070055), np.float64(-201.40834924790454), np.float64(-212.2279766180426), np.float64(-132.02740422706768), np.float64(-195.34424772786946), np.float64(-123.86478383751569), np.float64(-192.8392965753963), np.float64(-150.9782245942938), np.float64(-178.45460580523962), np.float64(-151.61321505473592), np.float64(-110.04309781015837), np.float64(-160.2272633572141), np.float64(-101.98618898353627), np.float64(-72.39593891495238), np.float64(-65.74829749691199), np.float64(-74.71732177158589), np.float64(-95.63918558716244), np.float64(-83.47979623925335), np.float64(-83.47536613678639), np.float64(-84.62632821276978), np.float64(-118.95692926313829), np.float64(-84.56177202629209), np.float64(-76.85909626520535), np.float64(-94.37861511297615), np.float64(-71.5606598332484), np.float64(-76.75173768040524), np.float64(-68.03928385052006), np.float64(-79.09912077926691), np.float64(-64.21838071701593), np.float64(-77.56559679544361), np.float64(-52.49705747950729), np.float64(-84.73856393026821), np.float64(-91.08865979130185), np.float64(-85.14742785376404), np.float64(-47.44485437510656), np.float64(-58.061407296935954), np.float64(-99.88166566503719), np.float64(-62.92061491011165), np.float64(-74.3963939291012), np.float64(-76.31311615543441), np.float64(-47.673166027371245), np.float64(-43.399026438060076)]","[5.425606966018677, 19.04400396347046, 31.033504009246826, 43.12575387954712, 52.571600914001465, 62.109864950180054, 71.47661399841309, 80.693186044693, 89.70682096481323, 99.65197587013245, 111.87440705299377, 121.72210216522217, 134.87465000152588, 148.738440990448, 162.80452299118042, 177.42710399627686, 191.2315239906311, 203.8701729774475, 214.21440482139587, 229.27245497703552, 243.77063512802124, 261.92076897621155, 280.02824306488037, 299.98584818840027, 319.48312306404114, 338.5623960494995, 357.12043809890747, 376.2515661716461, 395.0394470691681, 413.19513392448425, 432.2159299850464, 450.2097990512848, 468.0769290924072, 486.6963369846344, 505.44566106796265, 525.2605519294739, 543.9599261283875, 562.2626287937164, 578.1838328838348, 596.8292129039764, 614.9396719932556, 632.1305868625641, 649.1643300056458, 667.2539179325104, 682.7110841274261, 696.9376919269562, 712.4461472034454, 729.647842168808, 745.2484800815582, 760.1484711170197]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,min,64,50,"[np.float64(-132.47667684746673), np.float64(-102.22434679885572), np.float64(-107.32023180288783), np.float64(-95.71237852322673), np.float64(-110.33278148290555), np.float64(-98.27290560443271), np.float64(-91.06732490958773), np.float64(-44.761962356237895), np.float64(-95.40872891843887), np.float64(-24.434129616503803), np.float64(-43.93592175069084), np.float64(-33.36156416674277), np.float64(-52.32476061691513), np.float64(-45.6967980943285), np.float64(-48.65265042468721), np.float64(-62.93686500308009), np.float64(-47.569453310622045), np.float64(-31.03131696930076), np.float64(-30.59070868145764), np.float64(-48.457434199442986), np.float64(-57.452665897529315), np.float64(-45.610111483535356), np.float64(-46.47263014660933), np.float64(-38.91089194944355), np.float64(-40.87547791881049), np.float64(-38.72683711132569), np.float64(-44.109637421498675), np.float64(-36.93040221056631), np.float64(-20.553534838019345), np.float64(-36.94547800339063), np.float64(-33.042661137074475), np.float64(-38.70309683541028), np.float64(-36.38556870196093), np.float64(-34.17786454706403), np.float64(-29.15627909434005), np.float64(-10.996285536560322), np.float64(-10.72631698901965), np.float64(-15.600688866116144), np.float64(-17.579094598250848), np.float64(-2.8396335712575507), np.float64(-16.322463829830067), np.float64(8.606252748526344), np.float64(-12.131096820993164), np.float64(-13.196324803162241), np.float64(-16.85783215609179), np.float64(-16.724796644200296), np.float64(-6.555720913922954), np.float64(-15.236263113718607), np.float64(-14.317929093882299), np.float64(12.37321761620224), np.float64(-18.793037725614667)]","[np.float64(-1365.2805721698114), np.float64(-912.623499700853), np.float64(-912.623499700853), np.float64(-1186.7632898104694), np.float64(-1071.7506563063537), np.float64(-934.1839816892342), np.float64(-1015.0512604112487), np.float64(-299.24505397539406), np.float64(-774.0061654257054), np.float64(-423.24639706148093), np.float64(-774.0061654257054), np.float64(-575.9989824096227), np.float64(-415.5914788230027), np.float64(-461.56029953204086), np.float64(-774.0061654257054), np.float64(-659.3969233161226), np.float64(-461.56029953204086), np.float64(-657.6357057444778), np.float64(-298.1051881286785), np.float64(-541.5558272765413), np.float64(-541.5558272765413), np.float64(-541.5558272765413), np.float64(-356.55036159562417), np.float64(-367.04754319786554), np.float64(-391.93400654965797), np.float64(-391.93400654965797), np.float64(-356.55036159562417), np.float64(-358.53605544932043), np.float64(264.75194637121086), np.float64(-358.53605544932043), np.float64(433.88884771187577), np.float64(-358.53605544932043), np.float64(-356.55036159562417), np.float64(-358.53605544932043), np.float64(70.83946777783108), np.float64(70.83946777783108), np.float64(70.83946777783108), np.float64(70.83946777783108), np.float64(70.56700706233944), np.float64(70.83946777783108), np.float64(200.0648221454992), np.float64(200.0648221454992), np.float64(19.964316091742504), np.float64(70.83946777783108), np.float64(70.83946777783108), np.float64(189.9928473822988), np.float64(38.743263279968915), np.float64(70.83946777783108), np.float64(165.89364910535176), np.float64(70.56700706233944), np.float64(140.4673463141418)]","[np.float64(-587.8583452050023), np.float64(-309.76099296839925), np.float64(-291.8870237461165), np.float64(-236.59771006443233), np.float64(-248.83844889967986), np.float64(-265.5706627006217), np.float64(-286.4161877351587), np.float64(-219.73748203148608), np.float64(-245.37590654398744), np.float64(-236.08546892472316), np.float64(-230.90856330734198), np.float64(-229.37614107631504), np.float64(-252.16960062694895), np.float64(-234.23880129327654), np.float64(-275.37662795352725), np.float64(-240.29095910691763), np.float64(-222.78210247968374), np.float64(-224.0048977683263), np.float64(-236.12811239591161), np.float64(-199.4952349940937), np.float64(-176.82292263597014), np.float64(-112.97783394604633), np.float64(-114.22209113061612), np.float64(-133.0812065621945), np.float64(-123.28182637074133), np.float64(-138.0254136714152), np.float64(-99.49016158436226), np.float64(-175.8676487122054), np.float64(-95.91452986653329), np.float64(-143.52090728991817), np.float64(-126.2573484577211), np.float64(-181.1321149092245), np.float64(-110.49586803800062), np.float64(-131.1177365691401), np.float64(-164.3454792324492), np.float64(-187.86847079505486), np.float64(-178.99461670605015), np.float64(-166.4798505970889), np.float64(-197.60293843371284), np.float64(-188.14761822794082), np.float64(-233.9301430784404), np.float64(-170.6030031102539), np.float64(-190.7635563377396), np.float64(-216.7278367471515), np.float64(-229.88340557490946), np.float64(-179.34734114348447), np.float64(-157.2814505343831), np.float64(-211.1549733174433), np.float64(-165.9924366356031), np.float64(-174.35618602744674), np.float64(-172.3917587053705)]","[6.656970977783203, 16.158500909805298, 28.779104709625244, 38.390830755233765, 51.11126470565796, 61.578648805618286, 71.13680076599121, 81.51622581481934, 92.46862483024597, 102.08573389053345, 113.93205690383911, 125.11421585083008, 136.93317198753357, 147.54760789871216, 158.20126390457153, 169.38123869895935, 182.37027096748352, 192.04174494743347, 202.43806910514832, 213.4764528274536, 222.5780167579651, 233.6250340938568, 243.39118480682373, 253.69399785995483, 263.8982539176941, 274.2855257987976, 282.49704575538635, 290.93807792663574, 298.9503309726715, 306.97674083709717, 315.1262447834015, 324.8951497077942, 332.67233180999756, 340.76886677742004, 349.0123178958893, 357.01755380630493, 366.71463775634766, 375.16612482070923, 384.50657391548157, 393.2492527961731, 402.6663718223572, 411.15656876564026, 420.8827168941498, 430.3510627746582, 440.7430899143219, 449.92965292930603, 459.11280393600464, 467.971195936203, 476.7884397506714, 486.51059198379517]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,64,50,"[np.float64(-67.7193628176603), np.float64(-77.26699100142231), np.float64(-66.30488639930206), np.float64(-82.62180988844197), np.float64(-86.28158742674717), np.float64(-92.90526035783245), np.float64(-75.4820445731514), np.float64(-62.53724361399869), np.float64(-75.12864995329844), np.float64(-61.02974970493416), np.float64(-60.46100644906154), np.float64(-55.3817418407386), np.float64(-45.704524746490435), np.float64(-46.314481983748365), np.float64(47.52240751276815), np.float64(-12.729768873745977), np.float64(19.495531607130324), np.float64(9.22388154913727), np.float64(6.336500748762319), np.float64(-0.29333987604782263), np.float64(-0.945564949720071), np.float64(18.86228231041951), np.float64(9.170444189867906), np.float64(27.9094056116852), np.float64(6.999761832966238), np.float64(28.510732160187935), np.float64(-12.793274497971828), np.float64(1.0989246442520013), np.float64(-1.9270978155521234), np.float64(7.912420151031864), np.float64(4.398263597104963), np.float64(-8.182839797315525), np.float64(-4.488568103285755), np.float64(59.086355818874814), np.float64(-6.399468435071261), np.float64(7.851658065548793), np.float64(34.665048350114674), np.float64(-0.891233978967793), np.float64(5.764934284617842), np.float64(-1.2361379365708047), np.float64(18.451754267979606), np.float64(15.746002245224853), np.float64(11.46844718414082), np.float64(-10.740957641689041), np.float64(2.3836771171700932), np.float64(7.23534251635472), np.float64(14.273070879368941), np.float64(1.7152771315701785), np.float64(30.912948747560954), np.float64(5.469374407955982), np.float64(73.78281221307847)]","[np.float64(-1387.6219476095007), np.float64(-1416.1786405418277), np.float64(-1374.1020438300038), np.float64(-1379.642322220583), np.float64(-1379.642322220583), np.float64(-1312.3335445391115), np.float64(-1508.3525375279548), np.float64(-1292.5261019650688), np.float64(-1310.125351186076), np.float64(-1318.4255352286568), np.float64(-1306.2190047984843), np.float64(-1306.2190047984843), np.float64(-1334.4783979428403), np.float64(-1058.0082619755945), np.float64(-1058.0082619755945), np.float64(-1054.812463623215), np.float64(-1058.0082619755945), np.float64(-1058.0082619755945), np.float64(-1020.3227588170982), np.float64(-1058.0082619755945), np.float64(-1630.6051359643764), np.float64(-992.9974245020915), np.float64(-992.9974245020915), np.float64(-1406.6097763834864), np.float64(-1057.9856839353865), np.float64(-1020.3227588170982), np.float64(-1057.9856839353865), np.float64(-742.3536424120703), np.float64(-717.8783161853438), np.float64(-1100.2252228814082), np.float64(-1040.364593726504), np.float64(-838.2483281498721), np.float64(-1176.7962067541416), np.float64(-1060.7280562880692), np.float64(-838.2483281498721), np.float64(-781.5775450112808), np.float64(-838.2483281498721), np.float64(-825.3896855009722), np.float64(-839.9956755560113), np.float64(-820.2034951394826), np.float64(-842.926623100513), np.float64(-1195.3657103694015), np.float64(-839.9956755560113), np.float64(-571.9527074613254), np.float64(-1222.4136711464541), np.float64(-576.5214840538456), np.float64(-308.654066323341), np.float64(-831.6054255333634), np.float64(-824.3178966032825), np.float64(-831.6054255333634), np.float64(-455.8071396680454)]","[np.float64(-377.28487810675813), np.float64(-212.209764604294), np.float64(-182.6233282336979), np.float64(-174.9245554577443), np.float64(-186.91465470418797), np.float64(-181.52369422884885), np.float64(-174.5460153454233), np.float64(-155.91056732741276), np.float64(-199.78409709626982), np.float64(-158.30038371492415), np.float64(-126.67352652669658), np.float64(-160.70189197771123), np.float64(-178.59579985356544), np.float64(-142.8770792168848), np.float64(-129.1509961074351), np.float64(-111.27396221292602), np.float64(-98.75388046653552), np.float64(-113.07833608404175), np.float64(-108.22090110253268), np.float64(-115.66093660024112), np.float64(-110.84833203628254), np.float64(-95.68353988001144), np.float64(-110.1418882022309), np.float64(-128.88249800271933), np.float64(-99.74915951697034), np.float64(-85.21820811498807), np.float64(-125.14027013818512), np.float64(-117.83006611675684), np.float64(-132.35940257212164), np.float64(-112.1709933535032), np.float64(-126.89847133853985), np.float64(-123.9697227981296), np.float64(-102.0142370966353), np.float64(-126.11240700359212), np.float64(-105.77540013639151), np.float64(-142.92958961191545), np.float64(-98.33940460873103), np.float64(-136.08691850520214), np.float64(-91.4704509656156), np.float64(-109.06217346805661), np.float64(-117.08854224081301), np.float64(-129.16399018619634), np.float64(-110.17178125055844), np.float64(-98.39082265501554), np.float64(-114.20858069840617), np.float64(-91.22786311247576), np.float64(-126.36231833725344), np.float64(-106.14626651462918), np.float64(-111.5088503783629), np.float64(-157.28889651712012), np.float64(-138.42484472645188)]","[5.636836051940918, 17.2277569770813, 29.739845037460327, 41.68020296096802, 54.24791097640991, 67.13189816474915, 80.06004500389099, 94.99097490310669, 107.69451594352722, 116.81327104568481, 126.01100206375122, 134.29200887680054, 142.72206687927246, 151.4861171245575, 159.8209400177002, 169.34973907470703, 179.4011731147766, 192.8371241092682, 206.81057214736938, 216.10733604431152, 228.07002806663513, 237.58647394180298, 246.6309938430786, 256.171373128891, 265.3696520328522, 276.92878222465515, 286.2313301563263, 295.5276229381561, 304.9184491634369, 316.4180750846863, 325.2940049171448, 334.37993597984314, 343.4473249912262, 352.8153169155121, 361.8848419189453, 371.3288531303406, 380.6895170211792, 390.41990089416504, 399.7137532234192, 409.06939601898193, 418.4173879623413, 427.68535804748535, 437.0239679813385, 446.35032391548157, 455.5088791847229, 464.926167011261, 474.003142118454, 484.9654040336609, 493.8825831413269, 504.3485372066498]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,min,64,50,"[np.float64(-120.69921508435102), np.float64(-125.54341912196745), np.float64(-124.62163619921067), np.float64(-116.3362538166497), np.float64(-105.54897466780352), np.float64(-96.05772759478981), np.float64(-105.66595564741864), np.float64(-92.44907687904981), np.float64(-59.463247549359366), np.float64(-80.20081851772989), np.float64(-70.20146350258005), np.float64(-76.16570110961806), np.float64(-45.308347235398294), np.float64(-39.83403334938963), np.float64(-57.64589473132908), np.float64(-37.90187369816307), np.float64(-22.798874811450418), np.float64(-14.837023093041779), np.float64(-28.187374007599956), np.float64(-30.106132267078735), np.float64(-15.513637885894667), np.float64(-32.355505717069505), np.float64(-25.301059266886583), np.float64(-24.29147881695046), np.float64(-10.612270801092976), np.float64(-21.876733080761753), np.float64(-12.49357325637854), np.float64(-20.559328516254055), np.float64(-19.863021594057187), np.float64(0.7543275059360894), np.float64(-7.509249937315161), np.float64(-28.75246299910485), np.float64(-21.09327419681324), np.float64(-17.275046417468587), np.float64(-14.854439221122988), np.float64(-35.64121085604772), np.float64(-15.20318385806587), np.float64(-18.965009022848974), np.float64(-23.067628967075677), np.float64(-25.78962840675412), np.float64(-20.966496397307317), np.float64(-18.663477105669983), np.float64(-9.781221016212257), np.float64(-11.711224637624298), np.float64(-12.46168015843287), np.float64(-17.05904626985229), np.float64(-12.459595898633026), np.float64(-13.23584032719117), np.float64(-24.889704002231298), np.float64(-20.624797992485824), np.float64(-18.216272524611043)]","[np.float64(-1006.6268002641057), np.float64(-1006.6268002641057), np.float64(-1011.7011916703793), np.float64(-1011.7011916703793), np.float64(-1156.902651538342), np.float64(-1020.2905668684518), np.float64(-1137.979381758034), np.float64(-650.7474122187937), np.float64(-650.7474122187937), np.float64(-706.797173180554), np.float64(-611.3446079819068), np.float64(-694.133850797604), np.float64(-756.6542074209206), np.float64(-394.65544913089525), np.float64(-683.1581078497517), np.float64(-208.67327669295304), np.float64(-306.01194106632306), np.float64(-208.67327669295304), np.float64(-208.67327669295304), np.float64(-208.67327669295304), np.float64(-208.67327669295304), np.float64(-208.67327669295304), np.float64(-208.67327669295304), np.float64(-226.25891649150523), np.float64(-208.67327669295304), np.float64(-99.48651626188385), np.float64(-208.67327669295304), np.float64(-114.79891412316799), np.float64(-208.67327669295304), np.float64(-208.67327669295304), np.float64(-117.49828684812944), np.float64(-199.86460210540102), np.float64(-251.08605192255098), np.float64(-138.63429421497247), np.float64(-208.67327669295304), np.float64(-114.79891412316799), np.float64(-110.14089918275711), np.float64(-110.14089918275711), np.float64(-97.9441077664868), np.float64(110.37570215628241), np.float64(-199.86460210540102), np.float64(110.37570215628241), np.float64(110.37570215628241), np.float64(110.37570215628241), np.float64(-105.6406011399347), np.float64(-140.5083421631893), np.float64(-105.6406011399347), np.float64(-105.6406011399347), np.float64(-135.18230377493973), np.float64(-27.328089434978168), np.float64(-135.18230377493973)]","[np.float64(-649.7703274083374), np.float64(-404.87666454609234), np.float64(-275.03780422188987), np.float64(-235.77244505937554), np.float64(-286.0540911992073), np.float64(-286.8611310363058), np.float64(-191.7793013003231), np.float64(-266.0430321415358), np.float64(-236.93083676546266), np.float64(-175.19861359383015), np.float64(-203.94955783642234), np.float64(-191.78657149058535), np.float64(-191.06827883176817), np.float64(-188.0447252659231), np.float64(-162.0347540260123), np.float64(-181.90848703274594), np.float64(-193.3048160166001), np.float64(-152.44310457545672), np.float64(-168.00741620303006), np.float64(-170.44433590150734), np.float64(-164.15887743147573), np.float64(-167.19156423814465), np.float64(-215.4425534524676), np.float64(-130.4354425740641), np.float64(-188.86966258619225), np.float64(-174.50394681200078), np.float64(-223.18222866888888), np.float64(-216.49299979846393), np.float64(-237.41266993475503), np.float64(-249.63416280950108), np.float64(-238.6326284675567), np.float64(-133.04581105687808), np.float64(-268.1179802866918), np.float64(-181.29272033427694), np.float64(-182.96399289454845), np.float64(-198.88784734302), np.float64(-217.48070819908855), np.float64(-270.1574186587042), np.float64(-232.60288240932087), np.float64(-292.4591517567253), np.float64(-233.8301435410748), np.float64(-242.31868699711012), np.float64(-239.33925278745593), np.float64(-210.80482599570675), np.float64(-245.09439144488647), np.float64(-244.40802159317244), np.float64(-214.93646753863646), np.float64(-262.4468071309768), np.float64(-191.05066894703265), np.float64(-189.44496354113159), np.float64(-204.71883571845785)]","[5.282463073730469, 13.952324151992798, 24.92797327041626, 33.60047221183777, 42.6610209941864, 55.52922511100769, 67.9180600643158, 77.16236591339111, 86.310800075531, 97.75628328323364, 107.1163170337677, 120.82996201515198, 133.04903602600098, 145.08217024803162, 154.87493014335632, 167.38645029067993, 177.87191009521484, 189.4140281677246, 201.3918740749359, 213.38283705711365, 223.4995892047882, 235.82923221588135, 245.01533913612366, 254.23886799812317, 263.36428594589233, 272.7139701843262, 282.70556020736694, 291.61300921440125, 300.2638201713562, 308.53542923927307, 316.80557227134705, 324.7117450237274, 332.9508991241455, 343.3177890777588, 353.80450892448425, 361.54407501220703, 369.78075432777405, 378.6315951347351, 387.9615831375122, 396.88889813423157, 406.64102602005005, 416.0126271247864, 428.3596422672272, 440.1968231201172, 453.2006721496582, 462.7144751548767, 474.3321142196655, 485.736679315567, 494.3641850948334, 503.06949400901794]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
