internal_nodes,leaf_nodes,has_wind,elitist_variation,pop_size,max_gens,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,none,32,20,"[np.float64(-649.7714694094738), np.float64(-404.2903172552209), np.float64(-411.1672357943825), np.float64(-458.5682229147053), np.float64(-463.7342719488877), np.float64(-493.1694032075446), np.float64(-487.96522468025887), np.float64(-468.2432337669529), np.float64(-428.4219113449813), np.float64(-533.096649178638), np.float64(-320.42098673911124), np.float64(-468.22210112325195), np.float64(-472.49311375815125), np.float64(-401.09719289186387), np.float64(-374.97367842877327), np.float64(-404.66512683777034), np.float64(-423.3045669374283), np.float64(-487.976064511233), np.float64(-445.6636856281998), np.float64(-552.2094921839829), np.float64(-413.3469654094433)]","[np.float64(-1389.4117699622893), np.float64(-1389.4117699622893), np.float64(-1631.0512218508643), np.float64(-1389.4117699622893), np.float64(-1393.8129141598972), np.float64(-1393.8129141598972), np.float64(-1383.4183944933823), np.float64(-1204.8069720193519), np.float64(-1391.9206954609663), np.float64(-1204.8069720193519), np.float64(-1493.363576983764), np.float64(-1388.1553931220337), np.float64(-1388.1553931220337), np.float64(-1493.363576983764), np.float64(-1382.3238559241415), np.float64(-1392.7886295450426), np.float64(-1388.1553931220337), np.float64(-1359.0694459741262), np.float64(-1388.1553931220337), np.float64(-1388.1553931220337), np.float64(-1392.7886295450426)]","[np.float64(-2356.2031844180947), np.float64(-1255.4029522721899), np.float64(-701.549341517848), np.float64(-958.2972584542865), np.float64(-715.2596289171474), np.float64(-693.5581504392758), np.float64(-725.8569013156089), np.float64(-1027.583940392724), np.float64(-870.1464541334692), np.float64(-899.125543803654), np.float64(-924.6741010200585), np.float64(-1053.5422011166265), np.float64(-909.6365041876028), np.float64(-864.944201313199), np.float64(-866.0278180852727), np.float64(-1017.1977378501186), np.float64(-773.5382738546659), np.float64(-911.1449843868711), np.float64(-840.1139608475258), np.float64(-815.9645241093338), np.float64(-883.4932497486984)]","[10.482649087905884, 28.005492210388184, 43.82968473434448, 60.06305241584778, 75.32930970191956, 91.51238822937012, 106.72563171386719, 121.55807304382324, 136.44167757034302, 151.15706491470337, 164.8900604248047, 179.0097107887268, 192.0899965763092, 203.63567757606506, 215.81718969345093, 227.62995791435242, 238.70023727416992, 250.07715034484863, 261.7154529094696, 272.97594594955444]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,basic,32,20,"[np.float64(-657.9056303592944), np.float64(-504.19427611236074), np.float64(-504.19427611236074), np.float64(-504.19427611236074), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494), np.float64(-384.71204612952494)]","[np.float64(-1257.6416868103809), np.float64(-1257.6416868103809), np.float64(-1257.6416868103809), np.float64(-1257.6416868103809), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835), np.float64(-1340.8791656838835)]","[np.float64(-2366.847599196297), np.float64(-1097.4781346762566), np.float64(-917.3729106911212), np.float64(-1032.7557070144635), np.float64(-824.6155559714457), np.float64(-915.9039385244687), np.float64(-1182.3688641976619), np.float64(-954.7441904176176), np.float64(-942.9478978765117), np.float64(-938.2940329037202), np.float64(-783.9838130389401), np.float64(-819.5044672223598), np.float64(-839.440192319943), np.float64(-817.0926335087998), np.float64(-879.4841474769046), np.float64(-842.9148400906456), np.float64(-819.1415112609529), np.float64(-888.4996403859917), np.float64(-945.0927936645265), np.float64(-852.2649169231213), np.float64(-821.9567139261588)]","[10.458305597305298, 28.499976873397827, 44.8974723815918, 61.54971933364868, 78.81808400154114, 95.44967222213745, 112.08905124664307, 128.2596287727356, 145.7576608657837, 161.57214045524597, 179.06480646133423, 196.05929970741272, 212.372389793396, 230.40275263786316, 247.79376220703125, 265.89334416389465, 283.71560740470886, 301.39494705200195, 319.0691912174225, 336.6825485229492]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,none,32,20,"[np.float64(-567.2699596334076), np.float64(-345.00289848071486), np.float64(-162.82897075685028), np.float64(-352.337171984268), np.float64(-200.08752993787243), np.float64(49.77832396650076), np.float64(-248.47209370475576), np.float64(-186.79809926284406), np.float64(-131.63687187793207), np.float64(-33.474967147075716), np.float64(-139.3977240294692), np.float64(-20.527535820900425), np.float64(-122.59913997214505), np.float64(-107.76124464885766), np.float64(-26.713305627606097), np.float64(-168.80516940871053), np.float64(-60.89240869397112), np.float64(11.220999989887048), np.float64(-2.5109336821326593), np.float64(-90.34656968770062), np.float64(-141.12546838670687)]","[np.float64(-1115.8617355018764), np.float64(-913.7684687596338), np.float64(-913.7684687596338), np.float64(-911.687087314336), np.float64(-991.160020326703), np.float64(-558.354133803095), np.float64(-913.5561905647535), np.float64(-913.5561905647535), np.float64(-927.6650724784131), np.float64(-447.93610347381986), np.float64(-911.4748091194557), np.float64(-575.4161261557749), np.float64(-447.93610347381986), np.float64(-578.9815149037076), np.float64(-573.8399456147645), np.float64(-448.88479230551513), np.float64(-575.9914914130976), np.float64(-575.9914914130976), np.float64(-545.7383772382136), np.float64(-602.466163257541), np.float64(-586.0562817195223)]","[np.float64(-2246.3032329292764), np.float64(-800.6711533274807), np.float64(-726.6502408555061), np.float64(-879.5408525861053), np.float64(-923.2620492093995), np.float64(-937.3472327635866), np.float64(-675.5960086753421), np.float64(-520.8988211249213), np.float64(-635.9524156832714), np.float64(-537.2187527221802), np.float64(-676.2452455157472), np.float64(-880.2376204127179), np.float64(-865.5897177637763), np.float64(-637.4410064218856), np.float64(-466.259257177924), np.float64(-450.1180045656429), np.float64(-568.9337978619645), np.float64(-600.6768715212015), np.float64(-446.9378624508282), np.float64(-619.5034743189942), np.float64(-651.2151426381747)]","[10.92741870880127, 28.452972650527954, 47.04628396034241, 66.15867066383362, 88.6885199546814, 110.49541187286377, 132.47878050804138, 157.1389400959015, 181.279634475708, 204.0945966243744, 225.883629322052, 247.65079951286316, 265.70637011528015, 287.1152639389038, 310.12714552879333, 332.6959161758423, 355.94389271736145, 379.9837567806244, 405.54415249824524, 428.66732263565063]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,basic,32,20,"[np.float64(-643.6655018479671), np.float64(-600.2083997501402), np.float64(-462.7495021645169), np.float64(-462.7495021645169), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392), np.float64(-88.3172577836392)]","[np.float64(-1416.881942719151), np.float64(-1416.881942719151), np.float64(-1416.881942719151), np.float64(-1416.881942719151), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535), np.float64(-1546.3602609786535)]","[np.float64(-2337.6338725474957), np.float64(-1347.9821939826838), np.float64(-921.0172570285761), np.float64(-663.4343344812585), np.float64(-610.1611873739025), np.float64(-637.1285249272834), np.float64(-560.4178902945905), np.float64(-590.6722577107199), np.float64(-630.5169250021409), np.float64(-606.5717984340681), np.float64(-680.2751937686429), np.float64(-632.1354344125875), np.float64(-618.2873426496571), np.float64(-599.8984735691215), np.float64(-600.8863350490024), np.float64(-586.78037193223), np.float64(-606.3876020401449), np.float64(-573.3103129010245), np.float64(-587.6549539498425), np.float64(-586.8970666647515), np.float64(-599.1325960145073)]","[9.106955289840698, 23.047144412994385, 37.412514448165894, 54.946701526641846, 74.27223086357117, 89.85883569717407, 104.06106877326965, 118.02307629585266, 132.87536120414734, 147.6119349002838, 164.2103111743927, 180.42618060112, 196.54023265838623, 211.4321527481079, 226.30032682418823, 242.31186246871948, 255.86665511131287, 270.8970630168915, 286.36273074150085, 300.9952504634857]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,none,32,20,"[np.float64(-448.8984609128918), np.float64(-347.2170445657093), np.float64(-481.43365758403934), np.float64(-457.41339314940683), np.float64(-430.8258549337895), np.float64(-454.9012134928197), np.float64(-442.8883274412599), np.float64(-519.0296429064483), np.float64(-462.03509985795563), np.float64(-454.4944103804491), np.float64(-538.2285111243691), np.float64(-523.020153494073), np.float64(-465.89999101672754), np.float64(-513.2429102583351), np.float64(-441.35810135734016), np.float64(-463.45698008166363), np.float64(-480.69127611203595), np.float64(-465.0676846163451), np.float64(-434.95734958916876), np.float64(-397.00173478111276), np.float64(-445.6007079236601)]","[np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1215.2656003135755), np.float64(-1215.2656003135755), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1310.3685834169257), np.float64(-1215.2656003135755), np.float64(-1357.2827457653393), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1357.2827457653393), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688), np.float64(-1232.2506948402688)]","[np.float64(-1968.8714085179513), np.float64(-957.411200600663), np.float64(-781.4126092857158), np.float64(-717.3288208799345), np.float64(-679.1000409935755), np.float64(-721.5783599996273), np.float64(-729.7825226555617), np.float64(-783.226109759004), np.float64(-716.7258160498275), np.float64(-718.0290698238279), np.float64(-716.0961153371261), np.float64(-796.6662040553183), np.float64(-625.2998753385805), np.float64(-796.0548087815573), np.float64(-691.0181514778131), np.float64(-704.5463286193076), np.float64(-779.1834268350033), np.float64(-937.4081219990042), np.float64(-877.0049553005798), np.float64(-714.9133892104273), np.float64(-715.7369057878765)]","[8.972424507141113, 22.72009253501892, 37.474222898483276, 52.59732699394226, 67.32446622848511, 83.22849440574646, 99.19896340370178, 114.77807116508484, 130.28928589820862, 146.71434593200684, 162.34040665626526, 177.551899433136, 192.17049193382263, 206.44225025177002, 220.30035400390625, 236.0472128391266, 249.9591670036316, 263.79041361808777, 277.39686608314514, 290.46152329444885]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,basic,32,20,"[np.float64(-251.88741337186326), np.float64(-251.63356008854328), np.float64(-209.969970416051), np.float64(11.798985013680664), np.float64(11.798985013680664), np.float64(11.798985013680664), np.float64(81.41381749610186), np.float64(81.41381749610186), np.float64(81.41381749610186), np.float64(81.41381749610186), np.float64(89.63591068837621), np.float64(131.71881521816476), np.float64(131.71881521816476), np.float64(131.71881521816476), np.float64(234.32097038183727), np.float64(234.32097038183727), np.float64(234.32097038183727), np.float64(234.32097038183727), np.float64(234.32097038183727), np.float64(234.32097038183727), np.float64(505.21128937810533)]","[np.float64(-2686.21136140652), np.float64(-563.2314458393771), np.float64(-563.2314458393771), np.float64(-563.2314458393771), np.float64(-563.2314458393771), np.float64(-563.2314458393771), np.float64(-563.8889440696564), np.float64(-563.8889440696564), np.float64(-563.8889440696564), np.float64(-563.8889440696564), np.float64(15.67508876986983), np.float64(15.67508876986983), np.float64(15.67508876986983), np.float64(15.67508876986983), np.float64(100.1393322951374), np.float64(100.1393322951374), np.float64(100.1393322951374), np.float64(100.1393322951374), np.float64(100.1393322951374), np.float64(100.1393322951374), np.float64(-16.92196843548136)]","[np.float64(-2054.7432870091334), np.float64(-1038.4501647714794), np.float64(-766.312161697176), np.float64(-474.61753872676786), np.float64(-656.694110379026), np.float64(-497.54830431546713), np.float64(-490.8847925430722), np.float64(-441.86139470852214), np.float64(-347.65664950963344), np.float64(-453.3923654737846), np.float64(-310.1465571135775), np.float64(-545.7219026096345), np.float64(-437.68660534426533), np.float64(-389.0904531638098), np.float64(-346.6858925591579), np.float64(-284.0174425810152), np.float64(-148.0401443472541), np.float64(-342.8494868497836), np.float64(-215.07238609613844), np.float64(-199.42052799795846), np.float64(-181.52074814933684)]","[10.447925090789795, 26.759119272232056, 42.32302498817444, 60.21363401412964, 77.4303822517395, 95.17356896400452, 111.05501437187195, 128.4655225276947, 144.85625505447388, 161.31047224998474, 176.92018604278564, 193.06386637687683, 206.8920407295227, 222.77654552459717, 239.83765745162964, 257.6412208080292, 275.5116810798645, 292.91855120658875, 308.71461248397827, 326.02120447158813]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,diversity,32,20,"[np.float64(-456.63795343903064), np.float64(-566.9104263410719), np.float64(-490.7499201284447), np.float64(-432.06239882902435), np.float64(-355.27881743815584), np.float64(-354.63773244809573), np.float64(-354.48037712374503), np.float64(-279.8957008719345), np.float64(-228.05587205142058), np.float64(-228.05587205142058), np.float64(-285.0195080748001), np.float64(-285.0195080748001), np.float64(-234.5244706456563), np.float64(-296.214929365526), np.float64(-266.68468315211163), np.float64(-266.68468315211163), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906)]","[np.float64(-1596.1071718077), np.float64(-1126.3424981402786), np.float64(-1420.741098020823), np.float64(-1420.741098020823), np.float64(-1064.96928163762), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.716407817887), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887)]","[np.float64(-2107.0286528921447), np.float64(-1344.2233968074017), np.float64(-720.4317962993225), np.float64(-687.0489471933988), np.float64(-679.9053433632536), np.float64(-673.4772110389845), np.float64(-585.4776330831521), np.float64(-636.863504192405), np.float64(-689.2444223648934), np.float64(-471.8895449966417), np.float64(-459.090966512679), np.float64(-588.3667906841777), np.float64(-532.2243178288529), np.float64(-532.9482916327142), np.float64(-556.8267609236348), np.float64(-462.2125704061375), np.float64(-523.5723340063355), np.float64(-474.50507562961025), np.float64(-446.30806164038046), np.float64(-436.507581039157), np.float64(-454.6109809786236)]","[5.640674591064453, 363.27031922340393, 882.7430191040039, 1382.5483560562134, 1819.4424901008606, 2258.7138776779175, 2631.3969991207123, 2984.9605119228363, 3389.190587282181, 3685.4001336097717, 3977.244300365448, 4280.028599739075, 4580.959398984909, 4926.981315612793, 5227.0571348667145, 5521.026387214661, 5825.874670505524, 6154.489836215973, 6447.043986320496, 6756.479194164276]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,diversity,32,20,"[np.float64(-456.63795343903064), np.float64(-566.9104263410719), np.float64(-490.7499201284447), np.float64(-432.06239882902435), np.float64(-355.27881743815584), np.float64(-354.63773244809573), np.float64(-354.48037712374503), np.float64(-279.8957008719345), np.float64(-228.05587205142058), np.float64(-228.05587205142058), np.float64(-285.0195080748001), np.float64(-285.0195080748001), np.float64(-234.5244706456563), np.float64(-296.214929365526), np.float64(-266.68468315211163), np.float64(-266.68468315211163), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906)]","[np.float64(-1596.1071718077), np.float64(-1126.3424981402786), np.float64(-1420.741098020823), np.float64(-1420.741098020823), np.float64(-1064.96928163762), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.716407817887), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887)]","[np.float64(-2107.0286528921447), np.float64(-1344.2233968074017), np.float64(-720.4317962993225), np.float64(-687.0489471933988), np.float64(-679.9053433632536), np.float64(-673.4772110389845), np.float64(-585.4776330831521), np.float64(-636.863504192405), np.float64(-689.2444223648934), np.float64(-471.8895449966417), np.float64(-459.090966512679), np.float64(-588.3667906841777), np.float64(-532.2243178288529), np.float64(-532.9482916327142), np.float64(-556.8267609236348), np.float64(-462.2125704061375), np.float64(-523.5723340063355), np.float64(-474.50507562961025), np.float64(-446.30806164038046), np.float64(-436.507581039157), np.float64(-454.6109809786236)]","[5.640674591064453, 363.27031922340393, 882.7430191040039, 1382.5483560562134, 1819.4424901008606, 2258.7138776779175, 2631.3969991207123, 2984.9605119228363, 3389.190587282181, 3685.4001336097717, 3977.244300365448, 4280.028599739075, 4580.959398984909, 4926.981315612793, 5227.0571348667145, 5521.026387214661, 5825.874670505524, 6154.489836215973, 6447.043986320496, 6756.479194164276]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,diversity,32,20,"[np.float64(-456.63795343903064), np.float64(-566.9104263410719), np.float64(-490.7499201284447), np.float64(-432.06239882902435), np.float64(-355.27881743815584), np.float64(-354.63773244809573), np.float64(-354.48037712374503), np.float64(-279.8957008719345), np.float64(-228.05587205142058), np.float64(-228.05587205142058), np.float64(-285.0195080748001), np.float64(-285.0195080748001), np.float64(-234.5244706456563), np.float64(-296.214929365526), np.float64(-266.68468315211163), np.float64(-266.68468315211163), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906), np.float64(-40.493047407913906)]","[np.float64(-1596.1071718077), np.float64(-1126.3424981402786), np.float64(-1420.741098020823), np.float64(-1420.741098020823), np.float64(-1064.96928163762), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.716407817887), np.float64(-1087.7080808545384), np.float64(-1087.7080808545384), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887), np.float64(-1087.716407817887)]","[np.float64(-2107.0286528921447), np.float64(-1344.2233968074017), np.float64(-720.4317962993225), np.float64(-687.0489471933988), np.float64(-679.9053433632536), np.float64(-673.4772110389845), np.float64(-585.4776330831521), np.float64(-636.863504192405), np.float64(-689.2444223648934), np.float64(-471.8895449966417), np.float64(-459.090966512679), np.float64(-588.3667906841777), np.float64(-532.2243178288529), np.float64(-532.9482916327142), np.float64(-556.8267609236348), np.float64(-462.2125704061375), np.float64(-523.5723340063355), np.float64(-474.50507562961025), np.float64(-446.30806164038046), np.float64(-436.507581039157), np.float64(-454.6109809786236)]","[5.640674591064453, 363.27031922340393, 882.7430191040039, 1382.5483560562134, 1819.4424901008606, 2258.7138776779175, 2631.3969991207123, 2984.9605119228363, 3389.190587282181, 3685.4001336097717, 3977.244300365448, 4280.028599739075, 4580.959398984909, 4926.981315612793, 5227.0571348667145, 5521.026387214661, 5825.874670505524, 6154.489836215973, 6447.043986320496, 6756.479194164276]","[64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 480, 512, 544, 576, 608, 640, 672]"
