internal_nodes,leaf_nodes,has_wind,reward_type,is_diverse,pop_size,max_gens,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,False,64,50,"[np.float64(-108.12050607225974), np.float64(-71.48032255405494), np.float64(-91.79849414806169), np.float64(-81.62831541687405), np.float64(-56.88284724842788), np.float64(-55.48692003489119), np.float64(-41.667217146616984), np.float64(-11.469261532296809), np.float64(18.44817447320903), np.float64(14.337752709488464), np.float64(-5.66516745442794), np.float64(5.052365867354851), np.float64(9.543401285456829), np.float64(13.870901401831048), np.float64(37.8900086666438), np.float64(23.206305983624603), np.float64(15.057736483704002), np.float64(80.5633773607764), np.float64(105.6392657230067), np.float64(69.17266033160357), np.float64(50.306019307122284), np.float64(50.39519897828656), np.float64(84.4369337298358), np.float64(69.61615247670277), np.float64(53.978118357554784), np.float64(64.60454625716488), np.float64(67.99626828799492), np.float64(41.971007812913456), np.float64(52.60588285212924), np.float64(58.27662895936978), np.float64(64.63745834001736), np.float64(39.26751426479659), np.float64(71.30532159510915), np.float64(54.78824384193531), np.float64(80.28511314828492), np.float64(39.48313515932731), np.float64(42.95533400841806), np.float64(59.00470571488588), np.float64(73.80244977122364), np.float64(107.15754583947907), np.float64(71.76552238422207), np.float64(54.36488799072227), np.float64(66.11250133306035), np.float64(56.11141584785414), np.float64(91.2787537240848), np.float64(121.25500571789175), np.float64(108.93089776390025), np.float64(71.80368565107057), np.float64(102.89650428305586), np.float64(91.59684835114717), np.float64(106.15824882782537)]","[np.float64(-1131.0321854403926), np.float64(-1290.8600916414648), np.float64(-757.2501796200992), np.float64(-757.2501796200992), np.float64(-811.4028367890608), np.float64(-1295.337429624953), np.float64(-573.1157655627286), np.float64(-124.01535400906145), np.float64(-150.71047300023287), np.float64(265.12094331469245), np.float64(-124.01535400906145), np.float64(-150.71047300023287), np.float64(-124.01535400906145), np.float64(-124.01535400906145), np.float64(515.1544451871478), np.float64(-121.77051695966782), np.float64(20.00372551871572), np.float64(-198.80262173621833), np.float64(-23.967047415475008), np.float64(-65.28135728526105), np.float64(0.4873665602985966), np.float64(-153.71631257967437), np.float64(-20.62650421178114), np.float64(-308.4597642162772), np.float64(0.4873665602985966), np.float64(-315.1248818953374), np.float64(-407.2948058145317), np.float64(-55.21553239919113), np.float64(-419.7022390806554), np.float64(-419.7022390806554), np.float64(-419.7022390806554), np.float64(-419.7022390806554), np.float64(27.165029022883232), np.float64(-423.9605735727931), np.float64(-419.7022390806554), np.float64(-502.32358652305754), np.float64(-419.7022390806554), np.float64(27.165029022883232), np.float64(27.165029022883232), np.float64(-215.2511509562022), np.float64(-215.2511509562022), np.float64(112.65846375685611), np.float64(-333.9814821861734), np.float64(-99.61845774891742), np.float64(-519.6781890730526), np.float64(-99.61845774891742), np.float64(-99.61845774891742), np.float64(-99.61845774891742), np.float64(-99.61845774891742), np.float64(-99.61845774891742), np.float64(17.11927169837609)]","[np.float64(-367.7440249051515), np.float64(-220.05603112703207), np.float64(-186.41097275165413), np.float64(-219.12766191989684), np.float64(-154.88197205980384), np.float64(-150.30800432348593), np.float64(-134.07297546506697), np.float64(-126.23285628936746), np.float64(-141.58445608357965), np.float64(-93.6480561296926), np.float64(-141.8313697832142), np.float64(-97.01859273822456), np.float64(-91.9997307115224), np.float64(-80.62634366792457), np.float64(-87.66613009508805), np.float64(-91.8618753148616), np.float64(-86.82966629610894), np.float64(-76.46067393299344), np.float64(-79.5797480636266), np.float64(-69.19017245449633), np.float64(-62.74613170949931), np.float64(-51.040732129507234), np.float64(-70.20903109753182), np.float64(-61.06052204831187), np.float64(-56.12307198229473), np.float64(-73.99484449675282), np.float64(-84.37929802133732), np.float64(-36.06694607403637), np.float64(-98.12384805491409), np.float64(-100.64200444521724), np.float64(-57.501872880115705), np.float64(-51.031128127917), np.float64(-51.87661749967074), np.float64(-87.10056170281953), np.float64(-69.45526898417103), np.float64(-70.97915501284182), np.float64(-77.77343432538912), np.float64(-75.9360723588079), np.float64(-76.78195102573427), np.float64(-51.53564787474827), np.float64(-69.51070569380603), np.float64(-87.1978903249443), np.float64(-39.70242329021944), np.float64(-45.73017791828588), np.float64(-48.025538243034035), np.float64(-29.999481605594756), np.float64(-49.22449242285698), np.float64(-37.62602441807467), np.float64(-26.098743500982142), np.float64(-50.37864816565384), np.float64(-31.73785078002766)]","[12.90889859199524, 34.19987487792969, 55.191994190216064, 76.71217775344849, 98.42527294158936, 121.69096374511719, 144.8267982006073, 168.31945490837097, 193.39506149291992, 217.69919800758362, 238.9867205619812, 260.4043343067169, 281.0728876590729, 301.7511761188507, 321.7616331577301, 341.20744490623474, 360.14521050453186, 379.4262101650238, 398.8261842727661, 418.9304668903351, 438.29726362228394, 457.6835720539093, 478.10013723373413, 497.0501592159271, 517.2875001430511, 538.0336203575134, 560.1904151439667, 582.3708052635193, 598.8946149349213, 617.590172290802, 636.9966895580292, 656.511892080307, 676.4958066940308, 696.424414396286, 718.8221938610077, 739.0175352096558, 759.1989133358002, 779.5704412460327, 798.6372034549713, 818.6057987213135, 839.6932957172394, 860.4095475673676, 882.1633608341217, 903.864343881607, 927.4530766010284, 951.3890569210052, 975.4971301555634, 1000.2403678894043, 1024.8400557041168, 1049.2837047576904]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",True,avg,False,64,50,"[np.float64(-119.0410586604211), np.float64(-78.35810256505275), np.float64(-78.66592291374522), np.float64(-61.75086563390282), np.float64(-62.80343517503636), np.float64(-59.625542359179505), np.float64(-58.809168796896266), np.float64(-63.70780852014816), np.float64(-57.96351084177154), np.float64(-55.4771932622413), np.float64(-49.31616850179935), np.float64(-20.276354794774704), np.float64(10.07174070831179), np.float64(50.61171727022509), np.float64(51.67965946343229), np.float64(45.43927468871813), np.float64(77.90680448801513), np.float64(69.97575898450398), np.float64(44.06923195963168), np.float64(47.61660664154531), np.float64(72.92841195029453), np.float64(46.96529718093419), np.float64(72.10733416181051), np.float64(55.48484689258671), np.float64(75.28721153073695), np.float64(59.954620913647), np.float64(107.2557177792899), np.float64(92.85183744796203), np.float64(82.1426080701157), np.float64(112.99309655595087), np.float64(97.38402477824174), np.float64(76.68152358067259), np.float64(49.769418335066284), np.float64(73.62807612253312), np.float64(137.6926039074525), np.float64(81.91951282355528), np.float64(111.763623919476), np.float64(75.63832369345077), np.float64(64.25657454915827), np.float64(55.76861084702549), np.float64(103.55205564628595), np.float64(74.00020340125494), np.float64(129.70242323308136), np.float64(80.98331025824021), np.float64(97.69948950380697), np.float64(96.94800548561821), np.float64(76.4142497547527), np.float64(61.4453498625286), np.float64(90.6261820990286), np.float64(72.41182647241483), np.float64(87.51120551737546)]","[np.float64(-2576.549485549828), np.float64(-818.3651899868107), np.float64(-1048.345743034454), np.float64(-3930.5748675246364), np.float64(-3930.5748675246364), np.float64(-800.8205015610843), np.float64(-974.6532025079786), np.float64(-813.3248032104004), np.float64(-776.4053319763623), np.float64(-813.3248032104004), np.float64(67.19498619198697), np.float64(67.19498619198697), np.float64(67.19498619198697), np.float64(67.19498619198697), np.float64(67.19498619198697), np.float64(-5.541770463122987), np.float64(-5.541770463122987), np.float64(63.7480192431907), np.float64(-5.541770463122987), np.float64(-311.0982819925248), np.float64(-5.541770463122987), np.float64(-210.69379061048062), np.float64(-22.995554182685403), np.float64(-68.81079106142604), np.float64(-597.3956354478587), np.float64(-138.70798818429427), np.float64(-198.07639448713942), np.float64(101.7874827028355), np.float64(186.07969875754526), np.float64(516.7938366952473), np.float64(101.7874827028355), np.float64(101.7874827028355), np.float64(101.7874827028355), np.float64(122.84832158161998), np.float64(158.20675366166867), np.float64(121.90392792412928), np.float64(158.20675366166867), np.float64(144.23802777274634), np.float64(104.60610372209018), np.float64(101.7874827028355), np.float64(101.7874827028355), np.float64(101.7874827028355), np.float64(101.7874827028355), np.float64(426.58916237580445), np.float64(101.7874827028355), np.float64(101.7874827028355), np.float64(228.12117782499868), np.float64(511.52733421311586), np.float64(511.52733421311586), np.float64(109.60079627747871), np.float64(109.60079627747871)]","[np.float64(-438.5534476793842), np.float64(-231.94043108363365), np.float64(-181.76040138126126), np.float64(-162.67037442179898), np.float64(-141.35311334743616), np.float64(-137.80998687701307), np.float64(-144.14549920505502), np.float64(-150.37136347123086), np.float64(-133.88727110098563), np.float64(-159.44332081977944), np.float64(-125.4859682200766), np.float64(-130.05460460010875), np.float64(-95.96475596309354), np.float64(-79.66810983831914), np.float64(-82.28574502324224), np.float64(-123.16260924032824), np.float64(-93.2983780896203), np.float64(-96.0037274305045), np.float64(-92.73180709454361), np.float64(-67.04472767296906), np.float64(-99.36390340051935), np.float64(-106.49082993366895), np.float64(-50.46395396141182), np.float64(-62.16730806910225), np.float64(-68.61189832168341), np.float64(-116.8412234168897), np.float64(-48.35283720372889), np.float64(-74.81517542196653), np.float64(-93.39152154984998), np.float64(-56.64110642929498), np.float64(-72.19011222368361), np.float64(-57.03518090850372), np.float64(-52.8518779262547), np.float64(-69.19456590450154), np.float64(-43.787105608371235), np.float64(-64.26648308668904), np.float64(-47.58157447454218), np.float64(-44.31284798571529), np.float64(-34.42131948525815), np.float64(-40.16606289209432), np.float64(-58.79342036309413), np.float64(-67.78203531722112), np.float64(-113.45603490057377), np.float64(-52.917221291960544), np.float64(-74.01155069831222), np.float64(-59.00140564173825), np.float64(-83.46579036243065), np.float64(-76.46596199655758), np.float64(-64.4019875381176), np.float64(-45.225731883470615), np.float64(-55.88986961602204)]","[10.435015678405762, 29.765299797058105, 49.50372052192688, 71.39737343788147, 94.38892412185669, 118.23103666305542, 141.5384829044342, 164.9562270641327, 187.6006269454956, 210.24500966072083, 233.45955419540405, 256.6640348434448, 282.22509956359863, 313.46871042251587, 342.85623025894165, 371.39558386802673, 400.21922993659973, 428.698832988739, 455.8135998249054, 484.28123021125793, 509.5176374912262, 536.1769523620605, 561.6171736717224, 586.973393201828, 612.7923336029053, 637.9459774494171, 664.0273048877716, 688.5338439941406, 714.2806844711304, 739.6963686943054, 766.3826079368591, 793.0302872657776, 817.92924451828, 844.4570472240448, 869.4513750076294, 895.2788934707642, 919.7067799568176, 943.3495190143585, 968.2832319736481, 992.0735116004944, 1020.7848806381226, 1049.2256093025208, 1075.0968692302704, 1102.1079258918762, 1128.557380437851, 1155.3718190193176, 1182.326693534851, 1207.7302067279816, 1235.1674146652222, 1264.1226997375488]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,True,64,50,"[np.float64(-105.61302881830154), np.float64(-85.85915181079557), np.float64(-75.75614504756633), np.float64(-51.291484665623464), np.float64(-53.45318907055703), np.float64(-36.30585462973964), np.float64(6.139550742747457), np.float64(-6.761083507749598), np.float64(5.5129867553990355), np.float64(-26.139643024486656), np.float64(44.880027742813624), np.float64(-18.654655864604916), np.float64(26.11007359508269), np.float64(2.7634074135644964), np.float64(-5.131634963360301), np.float64(41.26813642584424), np.float64(6.103650191047547), np.float64(-9.285451594483977), np.float64(75.16233261047637), np.float64(25.32195161257831), np.float64(14.470577500661188), np.float64(52.68215216415293), np.float64(22.395002649332078), np.float64(50.28136921067572), np.float64(45.74343015315319), np.float64(20.547481002971256), np.float64(78.24318215313647), np.float64(47.06586842509086), np.float64(10.854059110910153), np.float64(57.96831520217611), np.float64(67.87317267409651), np.float64(49.183891317545346), np.float64(7.585511867128943), np.float64(37.87299227247097), np.float64(41.82343743814064), np.float64(62.71412526465622), np.float64(70.47055612776111), np.float64(39.758901260000016), np.float64(33.5731046525447), np.float64(80.6505261082006), np.float64(32.7375280845895), np.float64(59.791970898483456), np.float64(64.51412745843183), np.float64(62.64702524735522), np.float64(92.1191698506952), np.float64(53.598826311443744), np.float64(38.25553763451022), np.float64(97.67874154754168), np.float64(20.697809804299855), np.float64(69.18153421286424), np.float64(55.84843544800784)]","[np.float64(-1187.373896668248), np.float64(-1810.0915757286562), np.float64(-1371.7988861375109), np.float64(-642.1527533929478), np.float64(-640.1390256682031), np.float64(-220.0335673392484), np.float64(-632.0140830257101), np.float64(-618.2058373858229), np.float64(-102.4286588310259), np.float64(-154.05654055074936), np.float64(159.71144397706058), np.float64(-103.86795103076665), np.float64(-261.8048533327078), np.float64(-96.8229986791346), np.float64(94.82675299992272), np.float64(-345.6628409918928), np.float64(-345.6628409918928), np.float64(-139.42750023353568), np.float64(155.14110874003984), np.float64(-291.6459965267694), np.float64(42.80392149533168), np.float64(228.66494187670247), np.float64(228.66494187670247), np.float64(-428.96569742638036), np.float64(-428.96569742638036), np.float64(229.30455157440545), np.float64(-148.54320733801387), np.float64(121.55075755556112), np.float64(-41.02546826305067), np.float64(121.55075755556112), np.float64(-272.6461073537288), np.float64(121.55075755556112), np.float64(-111.71123826710317), np.float64(-73.44936598484463), np.float64(121.55075755556112), np.float64(181.2578951526349), np.float64(-124.09311226945601), np.float64(651.1478497970703), np.float64(438.355069763021), np.float64(391.3564794298535), np.float64(438.355069763021), np.float64(438.355069763021), np.float64(274.2163488062152), np.float64(274.2163488062152), np.float64(258.9767122595744), np.float64(274.37328581783805), np.float64(464.5734655762626), np.float64(258.9767122595744), np.float64(170.04065406946475), np.float64(181.88823908424445), np.float64(-88.35733493733179)]","[np.float64(-394.8485372647422), np.float64(-246.38406547079197), np.float64(-166.3602862721445), np.float64(-174.526437190676), np.float64(-150.96172634034872), np.float64(-167.93226643778783), np.float64(-99.62108913476747), np.float64(-114.03998843762832), np.float64(-140.44207882155308), np.float64(-154.77411563169596), np.float64(-136.37110337372738), np.float64(-165.82071930790977), np.float64(-154.86537693863096), np.float64(-130.74820063858084), np.float64(-170.13023210408912), np.float64(-123.1184104336586), np.float64(-119.76982506558647), np.float64(-128.1274280693337), np.float64(-115.29190609705154), np.float64(-110.01454751265709), np.float64(-105.92697168634257), np.float64(-122.14639964871292), np.float64(-109.02847551155511), np.float64(-110.84555028363786), np.float64(-131.4328909314565), np.float64(-109.57711431036512), np.float64(-124.14604597791174), np.float64(-121.21775778386277), np.float64(-120.05464822648705), np.float64(-101.29047395711115), np.float64(-86.6119214372089), np.float64(-120.50118527326543), np.float64(-100.69064303388052), np.float64(-112.39591130334924), np.float64(-96.8564445690794), np.float64(-75.51457156543074), np.float64(-83.45258623858783), np.float64(-85.78251875467933), np.float64(-113.81327021221058), np.float64(-144.87873240350137), np.float64(-102.07384024444099), np.float64(-93.34823934127058), np.float64(-129.1033806880808), np.float64(-94.1635019965932), np.float64(-97.25967544018113), np.float64(-69.30399364476318), np.float64(-84.14934160953024), np.float64(-70.59866716496882), np.float64(-90.1066812675414), np.float64(-76.01633196938994), np.float64(-96.05296962466932)]","[2434.747792482376, 2465.5615816116333, 2497.0752897262573, 2523.7764580249786, 2552.3230135440826, 2583.4347488880157, 2616.787008047104, 2647.031704187393, 2679.498833656311, 2710.4484717845917, 2741.723225593567, 2772.436713218689, 2804.9909660816193, 2836.6052322387695, 2867.2876336574554, 2897.9795849323273, 2928.4613564014435, 2957.725567817688, 2984.7229368686676, 3007.773987054825, 3031.950015068054, 3057.8908450603485, 3085.12708568573, 3109.273040533066, 3133.678302526474, 3157.8620312213898, 3183.36110162735, 3209.5122394561768, 3233.148794412613, 3260.490247488022, 3282.2407505512238, 3307.5283403396606, 3329.91620016098, 3354.783994436264, 3377.596529483795, 3399.197650909424, 3420.477838754654, 3443.8320863246918, 3465.371438741684, 3488.18194770813, 3511.006683588028, 3530.778695344925, 3551.9858100414276, 3573.0626521110535, 3593.8263335227966, 3614.599560022354, 3636.9582052230835, 3658.986247777939, 3678.810968399048, 3702.617616415024]","[128, 192, 256, 320, 384, 448, 512, 576, 640, 704, 768, 832, 896, 960, 1024, 1088, 1152, 1216, 1280, 1344, 1408, 1472, 1536, 1600, 1664, 1728, 1792, 1856, 1920, 1984, 2048, 2112, 2176, 2240, 2304, 2368, 2432, 2496, 2560, 2624, 2688, 2752, 2816, 2880, 2944, 3008, 3072, 3136, 3200, 3264]"
