internal_nodes,leaf_nodes,has_wind,reward_type,is_multiobjective,pop_size,max_gens,best_training,best_test,average_fitness,time_elapsed,num_evals
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,True,16,10,"[np.float64(-92.15626840893746), np.float64(-101.01350703030661), np.float64(-114.97597247806365), np.float64(-110.42466024213331), np.float64(-116.10697657964924), np.float64(-112.16320141940483), np.float64(-117.19107070338866), np.float64(-92.1463830660407), np.float64(-134.23139181785515), np.float64(-134.163997878162), np.float64(-130.1872661728834)]","[np.float64(-1320.3706759909883), np.float64(-1320.3706759909883), np.float64(-1320.3706759909883), np.float64(-1323.2382415663565), np.float64(-1392.4725010211098), np.float64(-1392.4725010211098), np.float64(-1392.4725010211098), np.float64(-1392.4725010211098), np.float64(-1392.4725010211098), np.float64(-1476.9251988248225), np.float64(-1392.4725010211098)]","[np.float64(-355.64005836829887), np.float64(-403.6158843854158), np.float64(-437.78182241553293), np.float64(-387.9610585617537), np.float64(-404.8335441404174), np.float64(-453.87798585091736), np.float64(-449.67939000853096), np.float64(-358.8189135102763), np.float64(-440.6750520034084), np.float64(-423.4070721915824), np.float64(-402.7351114278832)]","[3.1487202644348145, 60.09263825416565, 111.28950119018555, 155.41330003738403, 200.92936325073242, 247.49624919891357, 293.19066429138184, 337.6569330692291, 379.90450406074524, 420.62844705581665]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,False,16,10,"[np.float64(-130.52607246369547), np.float64(-90.94500260632091), np.float64(-116.29606216411753), np.float64(-113.1300833517223), np.float64(-103.34166606531703), np.float64(-102.89511264030867), np.float64(-62.6947964596038), np.float64(-85.96828884065137), np.float64(-77.04438305814864), np.float64(-64.60700797503105), np.float64(-78.51691867424711)]","[np.float64(-1407.8222792542829), np.float64(-1407.8222792542829), np.float64(-1506.719755452925), np.float64(-1398.9887704010491), np.float64(-1372.2825951214502), np.float64(-1372.2825951214502), np.float64(-1374.6174627957612), np.float64(-1287.4607435630433), np.float64(-1287.4607435630433), np.float64(-1314.376028937188), np.float64(-1299.3672608047334)]","[np.float64(-448.9788716451909), np.float64(-164.6530833222183), np.float64(-196.29293282083933), np.float64(-198.22047381525138), np.float64(-156.69091395398468), np.float64(-142.51223555527537), np.float64(-135.04548265953576), np.float64(-142.5525714744694), np.float64(-215.59398143993744), np.float64(-108.31852067415707), np.float64(-115.72646508072027)]","[2.226459264755249, 4.009345054626465, 5.774031162261963, 7.526004076004028, 9.148183107376099, 10.980987071990967, 12.401723146438599, 14.252300024032593, 16.34687614440918, 18.071624994277954]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,True,16,10,"[np.float64(-118.646680057399), np.float64(-104.20504473815254), np.float64(-111.5635723643945), np.float64(-118.44159063614093), np.float64(-103.3818966836175), np.float64(-102.15009113894598), np.float64(-102.98484340993143), np.float64(-128.9654016886262), np.float64(-120.5288225325033), np.float64(-89.99754564130316), np.float64(-123.51192226828539)]","[np.float64(-1328.1348357096695), np.float64(-2044.6323883612517), np.float64(-1414.885309868032), np.float64(-1414.885309868032), np.float64(-2041.1008184689783), np.float64(-1411.1794159318804), np.float64(-1391.6403818001659), np.float64(-1392.3606329569743), np.float64(-1414.885309868032), np.float64(-1395.1887017460183), np.float64(-1392.3606329569743)]","[np.float64(-401.5364053206194), np.float64(-409.98383709208855), np.float64(-458.88424162193826), np.float64(-461.105732162745), np.float64(-471.02717531216086), np.float64(-422.77244268191896), np.float64(-495.36475333911187), np.float64(-453.6676351330783), np.float64(-395.1936311818149), np.float64(-436.69045017515407), np.float64(-455.20546331038383)]","[3.003462791442871, 59.052812814712524, 122.02449584007263, 182.90210580825806, 245.9511239528656, 302.40806889533997, 354.2177379131317, 399.3260028362274, 441.1273567676544, 481.62056183815]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176]"
"Plus,Minus,Times,Div","Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Constant",False,avg,False,16,10,"[np.float64(-150.60470904549226), np.float64(-82.63005020483762), np.float64(-108.60518175297042), np.float64(-97.93570161951716), np.float64(-78.05581809384181), np.float64(-64.13545672149402), np.float64(-69.90512977713195), np.float64(-65.68126333087142), np.float64(-72.72621435296983), np.float64(-64.89399156048839), np.float64(-91.3000173476263)]","[np.float64(-2723.0748801784516), np.float64(-2177.9904092264314), np.float64(-1423.325888178399), np.float64(-1304.2987039538714), np.float64(-1009.0063381907178), np.float64(-571.9909477404756), np.float64(-571.9909477404756), np.float64(-877.1381504905798), np.float64(-1042.1736309956048), np.float64(-870.5616065127639), np.float64(-870.5616065127639)]","[np.float64(-367.2199927528129), np.float64(-280.7870907755707), np.float64(-257.474052083794), np.float64(-174.7660059399871), np.float64(-180.16737221750282), np.float64(-158.1841143936696), np.float64(-114.96595457753918), np.float64(-137.48721388702216), np.float64(-140.55997195266872), np.float64(-166.0421783404654), np.float64(-201.5989676979883)]","[2.0309152603149414, 33.94561719894409, 50.90232229232788, 59.36644506454468, 66.68117213249207, 75.89152002334595, 86.35216212272644, 93.268963098526, 100.60772204399109, 107.75583100318909]","[32, 48, 64, 80, 96, 112, 128, 144, 160, 176]"
